################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4072194452421876E+00 a         1     0     1     1     1
  2.7731281497132660E+00 a         2     0     1     1     2
 -3.7597214050085159E-01 a         3     0     1     1     3
  9.9241002343682938E-01 a         4     0     1     1     4
  1.7366747298999849E+00 a         5     0     1     1     5
  6.0832455411134578E+00 a         6     0     1     1     6
 -3.4642205843791224E-01 a         7     0     1     1     7
 -2.8622382216596334E+00 a         8     0     1     1     8
  1.1003416271716600E+00 a         9     0     1     1     9
  1.6996166737439744E+00 a        10     0     1     1    10
 -8.4933760011903878E+00 a        11     0     1     1    11
  2.6266851025106019E+00 a        12     0     1     1    12
  5.4618632443774917E+00 a        13     0     1     1    13
  9.5399907140173268E-01 a        14     0     1     1    14
 -1.8802388257108680E+00 a        15     0     1     1    15
  2.1713751419013737E-02 a        16     0     1     1    16
 -5.6493942343931884E+00 a        17     0     1     1    17
 -6.6870458409630587E+00 a        18     0     1     1    18
 -6.1565080201859568E-01 a        19     0     1     1    19
  5.1819758422973843E+00 a        20     0     1     1    20
 -2.4427225811107989E+00 a        21     0     1     1    21
  6.3555803417712520E+00 a        22     0     1     1    22
 -6.4781587304823542E+00 a        23     0     1     1    23
  2.4245087161431864E+00 a        24     0     1     1    24
 -2.4710641207107775E+00 a        25     0     1     1    25
 -2.0590371909902712E+00 a        26     0     2     1     1
 -7.4325355927323380E-02 a        27     0     2     1     2
 -3.3690671583297083E-01 a        28     0     2     1     3
 -1.9283502437296545E+00 a        29     0     2     1     4
  1.0512993642278734E+00 a        30     0     2     1     5
 -1.2179558506923458E+00 a        31     0     2     1     6
 -2.0383143020214722E-01 a        32     0     2     1     7
