################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   9.8511482085972246E-01   7.6416989472744223E+00   6.6790078619509021E+00   8.3264636979193962E-01
         1          2   9.2957595096006329E-01   7.2339802510341631E+00   6.3105979384237072E+00   7.8714226760488293E-01
         1          3   8.9622485510430561E-01   6.9906235685226052E+00   6.0884652982852927E+00   7.5974728391272661E-01
         1          4   5.2666296037381910E-01   4.2218635834245735E+00   3.5745659026843706E+00   4.5131064996050985E-01
         1          5   2.6470547433860286E-01   2.2636124305448311E+00   1.8337308336922828E+00   2.3745882551443676E-01
         1          6   7.5175898967509522E-02   7.0865156560013143E-01   5.1878467003944262E-01   7.1763984950702811E-02
         1          7   7.5789325366339274E-03   7.9599111361778385E-02   4.6659232674371623E-02   7.8618371135871501E-03
         1          8   4.9327974111805098E-05   1.4821792088265335E-03   4.5384369591881682E-04   1.4208690721231244E-04
         1          9   4.8482398956718370E-01   1.9420828213430251E+01   1.5120130224598510E+01   3.0112114625783404E+00
         1         10   4.2609643817214804E-01   1.7384172504667809E+01   1.3479004388427242E+01   2.6883407238492523E+00
         1         11   3.7481395623281577E-01   1.5580905032854446E+01   1.2031002462484169E+01   2.4035767296082025E+00
         1         12   1.4477631696886489E-02   1.6877645303149482E+01   1.2887307467117607E+01   3.0248059943343164E+00
         1         13   1.2589426001680943E-02   1.5244655654693414E+01   1.1574473445387893E+01   2.7189492947556824E+00
         1         14   1.0957238713786474E-02   1.3786160420833815E+01   1.0406489262322172E+01   2.4470215187973050E+00
         1         15   1.8167129825446712E-01   7.0903055630574956E+00   5.3683360547602632E+00   1.0657509000272753E+00
         1         16   1.6043882298509296E-01   6.3834081802332969E+00   4.8126152287394541E+00   9.5799464223391995E-01
         1         17   1.4178632017770634E-01   5.7530014294371821E+00   4.3188984786308904E+00   8.6214493993126728E-01
         1         18   1.3810470462148981E-03   6.9880072256689632E+00   5.1426237589029409E+00   1.2338350753786185E+00
         1         19   1.1975701611088246E-03   6.3521169630802685E+00   4.6449539344375683E+00   1.1162135365355268E+00
         1         20   1.0392202695592783E-03   5.7792722651092499E+00   4.1987408581333554E+00   1.0107048242107919E+00
         1         21   1.4930668621527287E-04   3.1926157829110777E+00   2.2586782014394133E+00   5.5239706172436764E-01
         1         22   1.2896672100772252E-04   2.9158645225327859E+00   2.0486586159055999E+00   5.0208585234627123E-01
         1         23   1.1145955500160387E-04   2.6648825609141240E+00   1.8592368598123492E+00   4.5665166844864868E-01
         1         24   1.9651339812768614E-07   4.1510725042291093E-04   1.2839846785105287E-04   4.3857473042617186E-05
         1         25   6.1303275559301091E-08   1.9890374356091369E-04   5.5921312787186955E-05   2.0443213913104163E-05
         1         26   1.9126539858924325E-08   9.8398358593169348E-05   2.4469863560465180E-05   9.6007586886768917E-06
