################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5991879055607925E+00 a         1     0     1     1     1
 -2.4752436930010733E+00 a         2     0     1     1     2
  2.2266663887013758E+00 a         3     0     1     1     3
 -8.6570014377787585E-01 a         4     0     1     1     4
  1.1479889109830375E+00 a         5     0     1     1     5
  6.5414384218162427E+00 a         6     0     1     1     6
  1.7150708926450109E+00 a         7     0     1     1     7
  2.0581239710469731E-01 a         8     0     1     1     8
 -8.8052521496412499E+00 a         9     0     1     1     9
  1.2082007905900036E+00 a        10     0     1     1    10
  3.1277948606002224E+00 a        11     0     1     1    11
 -1.9993347541119686E+00 a        12     0     1     1    12
 -2.3169496388239983E+00 a        13     0     1     1    13
 -3.2750122525424746E-01 a        14     0     1     1    14
 -2.1231302884327374E+00 a        15     0     1     1    15
 -3.3663330643665884E-01 a        16     0     1     1    16
  9.8797568209424398E+00 a        17     0     1     1    17
  6.5428738010435528E-01 a        18     0     1     1    18
 -4.5231055058622696E+00 a        19     0     1     1    19
 -3.5303089523296927E-01 a        20     0     1     1    20
  1.5121032454231593E+00 a        21     0     1     1    21
  1.3469458109543704E+00 a        22     0     1     1    22
  6.0062077560788678E-02 a        23     0     1     1    23
 -8.3972069070757058E+00 a        24     0     1     1    24
  1.8008843274685367E+00 a        25     0     1     1    25
  1.3055989923815656E+00 a        26     0     2     1     1
  1.1901362716184855E-01 a        27     0     2     1     2
 -5.5244014652270454E-02 a        28     0     2     1     3
  4.0800723441909374E-02 a        29     0     2     1     4
 -5.9107544376666088E-01 a        30     0     2     1     5
 -6.6445984913674361E-01 a        31     0     2     1     6
 -6.1777360321405861E-01 a        32     0     2     1     7
 -8.8266443973818026E-02 a        33     0     2     1     8
  2.5319840629028070E+00 a        34     0     2     1     9
  2.8678405943728730E-01 a        35     0     2     1    10
  9.4919980710912388E-01 a        36     0     2     1    11
  2.7390383091840331E-01 a        37     0     2     1    12
  9.8148796523904680E-01 a        38     0     2     1    13
  4.1922664239312635E-01 a        39     0     2     1    14
  1.7046793256955679E+00 a        40     0     2     1    15
 -3.8296650957950473E-01 a        41     0     2     1    16
 -2.2896883437771454E+00 a        42     0     2     1    17
 -8.8731530600279751E-01 a        43     0     2     1    18
  6.5013567441437348E-01 a        44     0     2     1    19
  1.7916585648628702E-01 a        45     0     2     1    20
 -9.3065915472677674E-01 a        46     0     2     1    21
 -1.3694150187094931E-01 a        47     0     2     1    22
 -1.1223486539858956E+00 a        48     0     2     1    23
  1.3203255060645949E+00 a        49     0     2     1    24
 -1.6647686133830272E-01 a        50     0     2     1    25
  1.9823513110065401E+00 a        51     0     3     1     1
  8.3787616842240953E-01 a        52     0     3     1     2
 -1.0641637372458412E+00 a        53     0     3     1     3
  7.0336760023041289E-01 a        54     0     3     1     4
 -1.6436267713504793E+00 a        55     0     3     1     5
 -4.2950163312889904E+00 a        56     0     3     1     6
 -1.7437812868079210E+00 a        57     0     3     1     7
 -9.6494145033428139E-02 a        58     0     3     1     8
  7.9522419457981286E+00 a        59     0     3     1     9
  3.2758160278468444E-02 a        60     0     3     1    10
  2.3208081872626240E-03 a        61     0     3     1    11
  1.5553673440457514E+00 a        62     0     3     1    12
  2.5347349544963942E+00 a        63     0     3     1    13
  9.0471464951688268E-03 a        64     0     3     1    14
  3.1615196172978379E+00 a        65     0     3     1    15
  3.7594212210827760E-01 a        66     0     3     1    16
 -7.8324708533578979E+00 a        67     0     3     1    17
 -1.7961318170472789E+00 a        68     0     3     1    18
  2.9872714775544500E+00 a        69     0     3     1    19
  3.8663359152472837E-01 a        70     0     3     1    20
 -2.0661531064990943E+00 a        71     0     3     1    21
 -6.5999690849404880E-01 a        72     0     3     1    22
 -1.4385707491883002E+00 a        73     0     3     1    23
  6.1544156827739203E+00 a        74     0     3     1    24
 -8.1528052619095182E-01 a        75     0     3     1    25
 -4.0261329226266362E-01 a        76     0     4     1     1
  2.2554679919027492E+00 a        77     0     4     1     2
  1.8020177785079078E-01 a        78     0     4     1     3
 -1.2166395076261112E+00 a        79     0     4     1     4
  9.9909190899929456E-01 a        80     0     4     1     5
 -3.1683308244713477E+00 a        81     0     4     1     6
 -7.4467929489604567E-01 a        82     0     4     1     7
  5.1328169230377674E-01 a        83     0     4     1     8
  1.2532693128683225E+00 a        84     0     4     1     9
 -2.0272708121629957E+00 a        85     0     4     1    10
 -4.8914233385081936E+00 a        86     0     4     1    11
  2.4675755617289594E+00 a        87     0     4     1    12
 -1.4445449016729242E+00 a        88     0     4     1    13
 -1.4597686377056743E-01 a        89     0     4     1    14
 -2.9914518799017387E+00 a        90     0     4     1    15
  3.0267680223853026E+00 a        91     0     4     1    16
 -3.4475852084540839E+00 a        92     0     4     1    17
 -1.3267630362272027E+00 a        93     0     4     1    18
  2.5549209056657429E+00 a        94     0     4     1    19
 -9.9876236773721949E-01 a        95     0     4     1    20
  1.2497379945463810E-01 a        96     0     4     1    21
 -3.8773903918917223E+00 a        97     0     4     1    22
  4.1458223389507820E+00 a        98     0     4     1    23
  6.3125909910212110E+00 a        99     0     4     1    24
  3.4848269574488044E-01 a       100     0     4     1    25
 -3.3254966704184157E+00 a       101     0     5     1     1
 -1.9457543300923683E+00 a       102     0     5     1     2
 -1.8239039764762723E+00 a       103     0     5     1     3
  2.1092595157913530E+00 a       104     0     5     1     4
 -2.4562532178493959E-01 a       105     0     5     1     5
  3.0919739363025442E+00 a       106     0     5     1     6
  2.2737164638067227E+00 a       107     0     5     1     7
 -3.0680350665450606E+00 a       108     0     5     1     8
 -4.7081438668435514E+00 a       109     0     5     1     9
  1.7031488106877266E+00 a       110     0     5     1    10
  7.3969043821305436E-01 a       111     0     5     1    11
 -1.2542024430600458E+00 a       112     0     5     1    12
 -2.5556807682859328E-01 a       113     0     5     1    13
  4.0705047397441248E-02 a       114     0     5     1    14
  1.8353947993755169E+00 a       115     0     5     1    15
 -1.1212278951153341E+00 a       116     0     5     1    16
  5.4059907468394046E+00 a       117     0     5     1    17
  6.1565019646694408E+00 a       118     0     5     1    18
 -2.4197490850793706E+00 a       119     0     5     1    19
  1.6583458364115894E-01 a       120     0     5     1    20
  2.9984715347866877E+00 a       121     0     5     1    21
  5.0999690164470257E+00 a       122     0     5     1    22
 -2.4741654945579103E+00 a       123     0     5     1    23
 -6.8830632587295053E+00 a       124     0     5     1    24
 -2.0945551802489909E-01 a       125     0     5     1    25
  2.3839436182126046E+00 a       126     0     6     1     1
  1.9731821264885482E-01 a       127     0     6     1     2
  1.2597184662430048E+00 a       128     0     6     1     3
 -7.5994183096156109E-01 a       129     0     6     1     4
 -2.8699263751443488E-01 a       130     0     6     1     5
 -9.0746998596152850E-01 a       131     0     6     1     6
 -1.4219352703765924E+00 a       132     0     6     1     7
  1.9707520324740002E+00 a       133     0     6     1     8
  2.6017750256941974E+00 a       134     0     6     1     9
 -1.3463617478210095E+00 a       135     0     6     1    10
  1.8150872685623912E-01 a       136     0     6     1    11
  3.8072963873189133E-02 a       137     0     6     1    12
  7.2169402056478194E-01 a       138     0     6     1    13
  6.8951751177395626E-01 a       139     0     6     1    14
 -6.5561401818957199E-01 a       140     0     6     1    15
  1.3680097885433651E-01 a       141     0     6     1    16
 -2.4628622882019164E+00 a       142     0     6     1    17
 -3.2781021354922784E+00 a       143     0     6     1    18
  3.9981514029635151E-02 a       144     0     6     1    19
  2.1403665554241832E-02 a       145     0     6     1    20
 -1.3535533158157840E+00 a       146     0     6     1    21
 -1.7765472653531806E+00 a       147     0     6     1    22
  1.7428343511865962E-01 a       148     0     6     1    23
  2.2769864788329546E+00 a       149     0     6     1    24
  1.8905247005852868E-01 a       150     0     6     1    25
 -5.9683788636312740E-01 a       151     0     7     1     1
  1.3066467807073467E-01 a       152     0     7     1     2
 -2.1458810527116645E-01 a       153     0     7     1     3
 -7.2835484844730305E-02 a       154     0     7     1     4
  2.1083407542009946E-01 a       155     0     7     1     5
  1.3188534930853471E-01 a       156     0     7     1     6
  4.2124101254645779E-01 a       157     0     7     1     7
 -3.8031223974020312E-01 a       158     0     7     1     8
 -6.2675683776362545E-01 a       159     0     7     1     9
  4.5947787082492619E-01 a       160     0     7     1    10
 -1.5187292731313584E-01 a       161     0     7     1    11
  1.4053217744942847E-01 a       162     0     7     1    12
 -4.5205534823663285E-01 a       163     0     7     1    13
 -1.9917755810507343E-01 a       164     0     7     1    14
  2.7259491805025704E-01 a       165     0     7     1    15
  1.3593959027858446E-01 a       166     0     7     1    16
  3.2570037048951456E-01 a       167     0     7     1    17
  4.6188474039172833E-01 a       168     0     7     1    18
  4.0618531862921609E-01 a       169     0     7     1    19
  1.1738014954440947E-01 a       170     0     7     1    20
  2.6708407120217015E-01 a       171     0     7     1    21
  5.3922737208673810E-01 a       172     0     7     1    22
  1.0749210563377859E-01 a       173     0     7     1    23
 -3.5486189859027784E-01 a       174     0     7     1    24
  6.6798257596405342E-02 a       175     0     7     1    25
  1.9343606306746391E-02 a       176     0     8     1     1
 -7.4537407411821563E-02 a       177     0     8     1     2
 -3.9065738748859026E-02 a       178     0     8     1     3
  1.1275630888917682E-01 a       179     0     8     1     4
 -8.4656652480150103E-03 a       180     0     8     1     5
  2.3109342109290859E-02 a       181     0     8     1     6
  3.0872702472138629E-02 a       182     0     8     1     7
  4.9118088650606774E-02 a       183     0     8     1     8
 -1.0487252416420345E-02 a       184     0     8     1     9
  7.3470152845988108E-03 a       185     0     8     1    10
  1.3927787241467554E-01 a       186     0     8     1    11
 -5.9421671096212617E-02 a       187     0     8     1    12
  6.7071982772996960E-02 a       188     0     8     1    13
  2.5134108849415290E-02 a       189     0     8     1    14
 -8.8078496849781057E-02 a       190     0     8     1    15
 -5.1203495923629154E-02 a       191     0     8     1    16
  7.3251091914059083E-02 a       192     0     8     1    17
  9.8302042120541985E-02 a       193     0     8     1    18
 -1.8500801508519335E-01 a       194     0     8     1    19
 -5.4857441877703396E-02 a       195     0     8     1    20
  6.4399168310760327E-02 a       196     0     8     1    21
 -1.7599871176762957E-01 a       197     0     8     1    22
  6.4069377939720715E-02 a       198     0     8     1    23
 -2.1294251200030799E-03 a       199     0     8     1    24
  2.2013564791125199E-02 a       200     0     8     1    25
 -1.2342963033228060E+00 a       201     0     9     1     1
  2.0240180589864429E-01 a       202     0     9     1     2
 -3.7478227891359213E+00 a       203     0     9     1     3
 -3.5688551174961898E+00 a       204     0     9     1     4
 -4.9164642748279297E+00 a       205     0     9     1     5
 -2.4870709618557263E+00 a       206     0     9     1     6
  9.8530661800455710E-01 a       207     0     9     1     7
 -1.6573240209999041E-01 a       208     0     9     1     8
 -4.1080175283005573E+00 a       209     0     9     1     9
  1.2183085534986675E-01 a       210     0     9     1    10
 -2.2235478120304601E+00 a       211     0     9     1    11
 -5.7408355548566925E-01 a       212     0     9     1    12
 -1.3904538481135906E+00 a       213     0     9     1    13
  3.0241016505027356E+00 a       214     0     9     1    14
 -5.4925495498551928E+00 a       215     0     9     1    15
  3.8478693764053240E+00 a       216     0     9     1    16
  2.9978080551444628E+00 a       217     0     9     1    17
  6.6566509940341723E+00 a       218     0     9     1    18
  1.1288731164199037E+00 a       219     0     9     1    19
 -7.9140924874335572E-01 a       220     0     9     1    20
 -9.8712213852929520E-01 a       221     0     9     1    21
  1.4380431974421612E+00 a       222     0     9     1    22
  1.2215531448742769E+00 a       223     0     9     1    23
  2.4672164627459243E+00 a       224     0     9     1    24
  1.7435371275063589E+00 a       225     0     9     1    25
 -1.4363087012010442E-01 a       226     0    10     1     1
  9.5061732760739248E-01 a       227     0    10     1     2
  3.8146884416189414E-01 a       228     0    10     1     3
  1.4948148052913393E+00 a       229     0    10     1     4
 -9.3787001176420293E-01 a       230     0    10     1     5
 -2.9435905583858122E+00 a       231     0    10     1     6
 -2.7277930736118332E+00 a       232     0    10     1     7
 -1.7761580872199414E+00 a       233     0    10     1     8
  5.3943066459175961E+00 a       234     0    10     1     9
 -5.5392948727696545E-01 a       235     0    10     1    10
 -5.1151217394302217E-01 a       236     0    10     1    11
  3.8026953571882634E-02 a       237     0    10     1    12
  1.6956167637191670E+00 a       238     0    10     1    13
 -4.3265735170610703E-01 a       239     0    10     1    14
  2.9163089152825870E+00 a       240     0    10     1    15
 -2.0723172604418402E-01 a       241     0    10     1    16
 -5.9160300893893796E+00 a       242     0    10     1    17
 -6.9804666130277726E-01 a       243     0    10     1    18
  1.5965245067242286E+00 a       244     0    10     1    19
 -4.7191376938536717E-01 a       245     0    10     1    20
 -7.4735706329693330E-01 a       246     0    10     1    21
  3.0452912601877307E+00 a       247     0    10     1    22
 -2.9257521170880780E+00 a       248     0    10     1    23
  3.8895851816288678E+00 a       249     0    10     1    24
 -1.2495420298544502E+00 a       250     0    10     1    25
 -1.0087795267882089E+00 a       251     0    11     1     1
  5.6500693368111377E-01 a       252     0    11     1     2
  3.5927440681435470E+00 a       253     0    11     1     3
  2.8864616233957854E+00 a       254     0    11     1     4
  9.2726021361583459E+00 a       255     0    11     1     5
  5.6038976261416789E+00 a       256     0    11     1     6
 -2.8928863264878628E+00 a       257     0    11     1     7
 -1.4211475155741009E+00 a       258     0    11     1     8
 -5.1100962423524321E-03 a       259     0    11     1     9
  1.1630313987025174E+00 a       260     0    11     1    10
  1.3805381538494772E+00 a       261     0    11     1    11
 -6.3173848631629881E-01 a       262     0    11     1    12
 -1.4822563523966842E-01 a       263     0    11     1    13
 -2.8756306424690417E+00 a       264     0    11     1    14
  2.5009205429410013E+00 a       265     0    11     1    15
 -2.7621756715404220E+00 a       266     0    11     1    16
  3.6775102712822050E+00 a       267     0    11     1    17
 -3.9134159839848248E+00 a       268     0    11     1    18
 -2.5551161665804618E+00 a       269     0    11     1    19
  5.6343443967756690E-01 a       270     0    11     1    20
  1.5182436179711269E+00 a       271     0    11     1    21
 -3.1638299786092694E+00 a       272     0    11     1    22
  1.3315543737540345E+00 a       273     0    11     1    23
 -7.6982131319539153E+00 a       274     0    11     1    24
 -2.0167221863949614E+00 a       275     0    11     1    25
 -4.7617662747566287E+00 a       276     0    12     1     1
 -3.6330415918067751E+00 a       277     0    12     1     2
  4.3808098061397721E-01 a       278     0    12     1     3
  4.0991756564478496E+00 a       279     0    12     1     4
  4.3681220217937868E+00 a       280     0    12     1     5
  6.0103413557024856E+00 a       281     0    12     1     6
  2.5117019006819845E+00 a       282     0    12     1     7
  4.3849853196188295E+00 a       283     0    12     1     8
 -7.3380288796038089E+00 a       284     0    12     1     9
 -2.1180833897241267E+00 a       285     0    12     1    10
 -3.4666234383985333E+00 a       286     0    12     1    11
  2.4045270529883700E+00 a       287     0    12     1    12
 -2.7355615070436201E+00 a       288     0    12     1    13
 -2.7627016205587709E+00 a       289     0    12     1    14
  2.1450406975265044E+00 a       290     0    12     1    15
 -1.5361933869130617E+00 a       291     0    12     1    16
 -2.5883787019583586E+00 a       292     0    12     1    17
 -6.5393760315160145E+00 a       293     0    12     1    18
 -7.5938053370616636E+00 a       294     0    12     1    19
  4.8809404858693766E+00 a       295     0    12     1    20
  6.0658797655791528E+00 a       296     0    12     1    21
 -2.8544643213558234E+00 a       297     0    12     1    22
 -4.9845920604077648E-01 a       298     0    12     1    23
 -1.2755556959859669E+01 a       299     0    12     1    24
  3.7962563131007219E+00 a       300     0    12     1    25
  1.6716152430037974E+00 a       301     0    13     1     1
