################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2791426848767338E+00 a         1     0     1     1     1
 -2.4800667363674358E+00 a         2     0     1     1     2
  7.6364066197507654E+00 a         3     0     1     1     3
  1.8298307517134464E+00 a         4     0     1     1     4
 -5.0912178630569986E+00 a         5     0     1     1     5
 -2.3866707334211408E+00 a         6     0     1     1     6
 -1.0100452489432564E-01 a         7     0     1     1     7
 -6.6073340831755205E+00 a         8     0     1     1     8
  8.3853318251913903E-03 a         9     0     1     1     9
 -1.9098968104987235E-01 a        10     0     1     1    10
  1.7531272581342958E+00 a        11     0     1     1    11
  8.7563123877359672E-01 a        12     0     1     1    12
 -2.7522930201593665E+00 a        13     0     1     1    13
  4.4137499142574299E-01 a        14     0     1     1    14
  1.7548150001945395E-01 a        15     0     1     1    15
  2.2846659429206464E+00 a        16     0     1     1    16
 -1.1802568884423081E+00 a        17     0     1     1    17
  5.4338481530494533E+00 a        18     0     1     1    18
  2.4372017758294282E+00 a        19     0     1     1    19
  7.8045939179736257E+00 a        20     0     1     1    20
  2.5355058024139203E+00 a        21     0     1     1    21
 -1.0426207422881995E+00 a        22     0     1     1    22
  1.6850648160018755E+00 a        23     0     1     1    23
  2.9737333790396259E-01 a        24     0     1     1    24
  6.5693550679238488E-01 a        25     0     1     1    25
  8.2385857483157054E-01 a        26     0     2     1     1
 -1.6397223767670571E-01 a        27     0     2     1     2
 -1.0905388876536921E+00 a        28     0     2     1     3
 -8.4347840133567198E-01 a        29     0     2     1     4
  1.0328180872994053E+00 a        30     0     2     1     5
 -1.9991570822131902E-01 a        31     0     2     1     6
 -2.8840599672280944E-02 a        32     0     2     1     7
  1.7746683286482152E+00 a        33     0     2     1     8
  4.3224102930621611E-01 a        34     0     2     1     9
 -3.4472908640937616E-01 a        35     0     2     1    10
 -7.3801590310223886E-01 a        36     0     2     1    11
 -3.5488301783231441E-01 a        37     0     2     1    12
  3.7642443594079075E-02 a        38     0     2     1    13
 -8.7582882816855029E-02 a        39     0     2     1    14
 -3.7699057343490283E-01 a        40     0     2     1    15
 -9.4840248349765466E-01 a        41     0     2     1    16
 -3.1030983920744165E-01 a        42     0     2     1    17
 -1.0824507525708820E+00 a        43     0     2     1    18
 -9.3847500497699987E-01 a        44     0     2     1    19
 -1.2929344915265131E+00 a        45     0     2     1    20
 -1.0269229231104396E-01 a        46     0     2     1    21
  4.8445169733190990E-01 a        47     0     2     1    22
 -3.0630909947911644E-01 a        48     0     2     1    23
  1.9301266995373106E-01 a        49     0     2     1    24
  7.3888638398115725E-01 a        50     0     2     1    25
  1.2852617721098156E+00 a        51     0     3     1     1
  1.2290849535188209E+00 a        52     0     3     1     2
 -5.5381810094653012E+00 a        53     0     3     1     3
 -1.6958075524916734E+00 a        54     0     3     1     4
  4.3688570899571824E+00 a        55     0     3     1     5
  1.0964795294527918E+00 a        56     0     3     1     6
  6.8673520143271896E-02 a        57     0     3     1     7
  5.5313034202107199E+00 a        58     0     3     1     8
  5.3873157825678741E-01 a        59     0     3     1     9
 -2.2562776766331941E-01 a        60     0     3     1    10
 -2.1063288539820566E+00 a        61     0     3     1    11
 -8.5341701783253399E-01 a        62     0     3     1    12
  2.2358771898975234E+00 a        63     0     3     1    13
 -6.7741817083575717E-01 a        64     0     3     1    14
 -1.3305245997889539E+00 a        65     0     3     1    15
 -2.0994228227045406E+00 a        66     0     3     1    16
 -3.6526221571711759E-01 a        67     0     3     1    17
 -5.0565864195563606E+00 a        68     0     3     1    18
 -2.3058776275087847E+00 a        69     0     3     1    19
 -5.8600981698819350E+00 a        70     0     3     1    20
 -1.0755222565206053E+00 a        71     0     3     1    21
  9.1451776603385826E-01 a        72     0     3     1    22
 -1.4512262876968303E+00 a        73     0     3     1    23
  4.9874041131937247E-01 a        74     0     3     1    24
  5.5657880472007881E-01 a        75     0     3     1    25
  1.2325337370601763E+00 a        76     0     4     1     1
 -5.9462433881124910E-01 a        77     0     4     1     2
 -6.7432008827755361E+00 a        78     0     4     1     3
