################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5466149919505634E+00 a         1     0     1     1     1
  2.8441138157409299E-02 a         2     0     1     1     2
  1.7552711547294577E+00 a         3     0     1     1     3
  1.0287453331749857E+01 a         4     0     1     1     4
  2.5889833673850687E-01 a         5     0     1     1     5
  1.4284695407257206E+00 a         6     0     1     1     6
 -5.2478428402422517E-01 a         7     0     1     1     7
 -2.6132302608946247E+00 a         8     0     1     1     8
  1.9022271718531945E+00 a         9     0     1     1     9
 -2.9643535537560703E+00 a        10     0     1     1    10
 -5.0891710317483003E+00 a        11     0     1     1    11
 -2.4573747012860306E-01 a        12     0     1     1    12
  1.3459366268907729E+00 a        13     0     1     1    13
  1.3474805145659798E+00 a        14     0     1     1    14
  4.2121121319712490E-02 a        15     0     1     1    15
 -1.4703929290857221E-01 a        16     0     1     1    16
 -2.2696290420110681E+00 a        17     0     1     1    17
 -7.0851258632081759E-01 a        18     0     1     1    18
  8.7435211232181377E-03 a        19     0     1     1    19
 -3.5396586113471771E+00 a        20     0     1     1    20
 -8.0669889909879142E+00 a        21     0     1     1    21
  2.4801387098730188E+00 a        22     0     1     1    22
 -2.2471308557696772E+00 a        23     0     1     1    23
 -1.1961390211855529E+00 a        24     0     1     1    24
 -5.0270389244544420E+00 a        25     0     1     1    25
 -1.0505060217213387E+00 a        26     0     2     1     1
 -1.1221000646852195E+00 a        27     0     2     1     2
 -2.1688216353557360E-01 a        28     0     2     1     3
 -2.0488089582436810E+00 a        29     0     2     1     4
  5.5663108314676912E-01 a        30     0     2     1     5
 -1.3963700658517896E-03 a        31     0     2     1     6
 -1.2088998496956858E-01 a        32     0     2     1     7
  6.9202273837589057E-01 a        33     0     2     1     8
 -2.8007883854635418E-01 a        34     0     2     1     9
 -5.5364367627462341E-01 a        35     0     2     1    10
  6.4430081330962663E-01 a        36     0     2     1    11
  3.2605659579685337E-02 a        37     0     2     1    12
 -3.3655818233434998E-01 a        38     0     2     1    13
  4.9858426430822833E-01 a        39     0     2     1    14
 -8.9324641376795841E-02 a        40     0     2     1    15
  6.9176690673276275E-01 a        41     0     2     1    16
  6.1134287746020866E-01 a        42     0     2     1    17
  8.8329599755235688E-01 a        43     0     2     1    18
 -6.8892927928728376E-01 a        44     0     2     1    19
 -3.3835685208374799E-01 a        45     0     2     1    20
  1.7955961030067871E+00 a        46     0     2     1    21
  1.4456220253641777E-02 a        47     0     2     1    22
  2.9735329692281953E-01 a        48     0     2     1    23
  6.9295576987918839E-01 a        49     0     2     1    24
  1.2185985362113503E+00 a        50     0     2     1    25
 -4.3258986741192746E+00 a        51     0     3     1     1
 -9.7575269818264965E-01 a        52     0     3     1     2
 -9.1620973586398324E-01 a        53     0     3     1     3
 -7.9940220547607916E+00 a        54     0     3     1     4
  2.4362691987152080E-01 a        55     0     3     1     5
 -6.0643134776119323E-01 a        56     0     3     1     6
  2.3692960914124864E-01 a        57     0     3     1     7
  2.5932086822679628E+00 a        58     0     3     1     8
 -7.7725386803835683E-01 a        59     0     3     1     9
  1.1923105410576247E+00 a        60     0     3     1    10
