################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3633576483209264E+00 a       117     0     5     1    17
  1.7615077991913797E+00 a       118     0     5     1    18
 -1.2674648980101793E+00 a       119     0     5     1    19
  3.2510573509700222E+00 a       120     0     5     1    20
  1.6372993382917946E+00 a       121     0     5     1    21
  3.2666545999095273E+00 a       122     0     5     1    22
  1.1126629064633102E+00 a       123     0     5     1    23
 -1.3398623166794612E+00 a       124     0     5     1    24
  1.3971104871497535E+00 a       125     0     5     1    25
  2.9999622108031748E-01 a       126     0     6     1     1
 -1.6503764196337407E+00 a       127     0     6     1     2
  6.4402542532991613E-01 a       128     0     6     1     3
 -2.2933733697581890E-01 a       129     0     6     1     4
 -4.2033125980871527E-01 a       130     0     6     1     5
 -2.9359682597352483E+00 a       131     0     6     1     6
  5.5200306339676530E-01 a       132     0     6     1     7
  6.1651924805554492E-01 a       133     0     6     1     8
  3.4344610740076675E-01 a       134     0     6     1     9
  2.1128977367013282E+00 a       135     0     6     1    10
  1.1909334038845940E+00 a       136     0     6     1    11
 -1.4241101984523461E+00 a       137     0     6     1    12
 -1.1789790843480432E+00 a       138     0     6     1    13
 -4.0578542797153155E-01 a       139     0     6     1    14
  8.2234328663638379E-01 a       140     0     6     1    15
 -1.2113269507218158E+00 a       141     0     6     1    16
 -1.5849923658700145E+00 a       142     0     6     1    17
 -1.7215103721794347E+00 a       143     0     6     1    18
  8.1472870290939836E-01 a       144     0     6     1    19
 -1.7857514208065166E+00 a       145     0     6     1    20
 -2.2019195338146078E+00 a       146     0     6     1    21
 -1.7575567698760899E-01 a       147     0     6     1    22
 -1.4781515545123041E+00 a       148     0     6     1    23
  1.4983471145782497E+00 a       149     0     6     1    24
 -9.0497843161663294E-01 a       150     0     6     1    25
  9.1145641350224169E-02 a       151     0     7     1     1
  3.0865868575037342E-01 a       152     0     7     1     2
 -2.9051724224164138E-01 a       153     0     7     1     3
  3.6449627195431161E-01 a       154     0     7     1     4
  1.3346029750754268E-01 a       155     0     7     1     5
  5.9985212850277114E-01 a       156     0     7     1     6
 -3.8729930731780748E-01 a       157     0     7     1     7
 -1.4754715705469437E-01 a       158     0     7     1     8
  8.0360137413785865E-02 a       159     0     7     1     9
 -7.7615792415834750E-01 a       160     0     7     1    10
