# LAMMPS data file written by OVITO Basic 3.7.5
144 atoms
2 atom types
0.0 12.522 xlo xhi
0.0 12.522 ylo yhi
0.0 35.72867337 zlo zhi

Masses #1:Fe, 2:Au in grams/mol

1 55.847
2 196.96657

Atoms  # atomic

87 2 6.22162 8.16428 6.33874
88 2 4.44231 10.30537 6.30764
89 2 3.97035 8.46222 8.35964
90 2 6.27505 10.26938 8.35404
91 2 6.48511 8.37518 10.71224
92 2 4.10716 10.50782 10.59574
93 2 4.22827 8.22325 12.62854
94 2 6.32405 10.42229 12.49974
95 2 7.19611 8.09902 15.34384
96 2 4.04853 9.98175 15.22664
97 2 8.26167 12.26391 0.04436
98 2 10.28261 1.73124 35.28774
99 2 10.7986 12.30295 1.40734
100 2 8.44868 2.00028 1.76304
101 2 8.1551 12.51478 3.68204
102 2 10.7225 2.09073 3.76514
103 2 10.28973 0.20598 6.17554
104 2 8.22012 1.84862 5.66934
105 2 8.65675 12.33923 8.13144
106 2 10.14163 2.25754 8.08764
107 2 10.33576 0.44785 10.28764
108 2 8.33686 2.25484 10.18954
109 2 7.98057 0.53058 12.79264
110 2 10.38078 2.11707 12.34694
111 2 10.35721 0.35823 14.95944
112 2 8.41999 2.29137 14.93684
113 2 8.16357 4.29416 35.71411
114 2 9.85635 6.72023 35.19434
115 2 10.52707 4.06768 1.51744
116 2 8.35375 6.63197 1.87624
117 2 8.23952 4.55224 4.03974
118 2 10.51614 6.1356 4.20064
119 2 10.33024 4.20961 6.05934
120 2 8.32565 6.24116 5.99254
121 2 8.15537 4.5356 8.38774
122 2 10.36112 6.16571 8.24074
123 2 10.59094 4.37905 10.57744
124 2 8.33075 6.19288 10.94004
125 2 8.05869 3.93745 12.85114
126 2 10.4643 6.09199 12.64164
127 2 10.75228 3.4911 15.09034
128 2 9.63061 6.4873 15.13944
129 2 7.89445 8.47436 35.28644
130 2 10.17703 10.40484 35.18344
131 2 10.58633 8.69261 2.09214
132 2 8.20709 10.4248 1.90354
133 2 8.37264 8.25309 4.00104
134 2 10.02131 10.60307 3.94714
135 2 10.69191 7.97915 6.16824
136 2 8.83818 10.10584 6.42364
137 2 8.1426 8.00438 8.54054
138 2 11.03403 10.62353 8.56284
139 2 10.16399 8.35258 10.43274
140 2 8.43718 10.53269 10.51584
141 2 8.78635 8.33085 12.82934
142 2 10.35852 11.33695 12.68694
143 2 9.97293 9.46698 14.93214
144 2 8.08718 11.5435 14.95824
