# LAMMPS data file written by OVITO Pro 3.5.4
180 atoms
2 atom types
0.0 15.336255 xlo xhi
0.0 14.75731 ylo yhi
0.0 29.7984842388 zlo zhi

Masses #1:Fe, 2:Au in grams/mol

1 55.847
2 196.96657

Atoms  # atomic

160 2 14.48429 10.33012 2.3716
161 2 11.07619 10.33012 4.77837
162 2 13.63226 8.85439 4.77837
163 2 10.22417 8.85439 7.18999
164 2 12.78024 10.33012 7.18999
165 2 11.92822 8.85439 9.59675
166 2 14.48429 10.33012 9.59675
167 2 11.07619 10.33012 12.01734
168 2 13.63226 8.85439 12.01734
169 2 10.22417 11.80583 29.74944
170 2 12.78024 13.28154 29.74944
171 2 11.92822 11.80583 2.3716
172 2 14.48429 13.28154 2.3716
173 2 11.07619 13.28154 4.77837
174 2 13.63226 11.80583 4.77837
175 2 10.22417 11.80583 7.18999
176 2 12.78024 13.28154 7.18999
177 2 11.92822 11.80583 9.59675
178 2 14.48429 13.28154 9.59675
179 2 11.07619 13.28154 12.01734
180 2 13.63226 11.80583 12.01734
