################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.1239938319556988E-01 a       117     0     5     1    17
 -1.1825490005806898E+00 a       118     0     5     1    18
 -2.2476515462816438E+00 a       119     0     5     1    19
  1.7882747863419074E-01 a       120     0     5     1    20
  1.8031003466221016E+00 a       121     0     5     1    21
  8.8042486174837886E-01 a       122     0     5     1    22
  2.9087156148169790E+00 a       123     0     5     1    23
 -5.6191996787446352E-01 a       124     0     5     1    24
  7.6969676028053637E+00 a       125     0     5     1    25
  5.6605651919852928E-01 a       126     0     6     1     1
  1.4333322146909953E+00 a       127     0     6     1     2
 -3.6664528621873593E+00 a       128     0     6     1     3
 -7.9669973133023042E-01 a       129     0     6     1     4
  1.2875003185843115E+00 a       130     0     6     1     5
  1.9855542826920742E+00 a       131     0     6     1     6
 -5.7537599007435203E-01 a       132     0     6     1     7
  2.2313591709491196E+00 a       133     0     6     1     8
  2.0266750757400063E+00 a       134     0     6     1     9
  3.3234319106414909E+00 a       135     0     6     1    10
  2.1331643599356105E+00 a       136     0     6     1    11
 -1.2753497904455853E+00 a       137     0     6     1    12
 -3.1821364371271490E+00 a       138     0     6     1    13
 -4.8286551897995322E-01 a       139     0     6     1    14
  3.3680103492989477E-01 a       140     0     6     1    15
  7.0864591541235256E-01 a       141     0     6     1    16
 -9.4819390866078446E-01 a       142     0     6     1    17
 -7.5579095116846606E-01 a       143     0     6     1    18
  2.0182444956569499E+00 a       144     0     6     1    19
  7.3835467148140113E-02 a       145     0     6     1    20
  6.4150796535546106E-01 a       146     0     6     1    21
  2.7174433175490731E-01 a       147     0     6     1    22
 -2.0031165774691826E+00 a       148     0     6     1    23
 -3.8923727019481374E-01 a       149     0     6     1    24
 -2.3970501673160731E+00 a       150     0     6     1    25
 -2.5688663650605342E-01 a       151     0     7     1     1
 -2.1737679908659896E-01 a       152     0     7     1     2
  7.6428388499320787E-01 a       153     0     7     1     3
  1.6464062056978629E-01 a       154     0     7     1     4
 -7.3209951202079748E-01 a       155     0     7     1     5
 -5.9175631174522703E-01 a       156     0     7     1     6
  3.1022312367297170E-04 a       157     0     7     1     7
 -4.2358053114544292E-01 a       158     0     7     1     8
 -4.9816544627710774E-01 a       159     0     7     1     9
 -6.8089089385733703E-01 a       160     0     7     1    10
 -4.0456722153768704E-01 a       161     0     7     1    11
  3.6047987891270694E-01 a       162     0     7     1    12
  6.8830087036487242E-01 a       163     0     7     1    13
 -5.7772697184421622E-02 a       164     0     7     1    14
  2.7095678212495306E-01 a       165     0     7     1    15
 -1.3174035437247369E-01 a       166     0     7     1    16
  3.7821288910155149E-01 a       167     0     7     1    17
  2.7050826607667650E-01 a       168     0     7     1    18
 -6.0650064820616900E-01 a       169     0     7     1    19
  1.6503592081181062E-01 a       170     0     7     1    20
 -5.2787504349470327E-01 a       171     0     7     1    21
  1.6922048367440146E-01 a       172     0     7     1    22
  3.6203869446115922E-01 a       173     0     7     1    23
 -3.0804642413788517E-02 a       174     0     7     1    24
  3.6131122246209008E-01 a       175     0     7     1    25
  1.6880752235416893E-02 a       176     0     8     1     1
 -1.2777252745875607E-02 a       177     0     8     1     2
  8.8236140055073017E-03 a       178     0     8     1     3
 -7.9905387544323123E-02 a       179     0     8     1     4
  1.0038556780021618E-01 a       180     0     8     1     5
 -4.4017769929182292E-02 a       181     0     8     1     6
  1.0851488586219916E-01 a       182     0     8     1     7
  4.7997642277319473E-02 a       183     0     8     1     8
  1.0229126105377954E-03 a       184     0     8     1     9
  2.4801455545560534E-02 a       185     0     8     1    10
  6.0212831015391696E-02 a       186     0     8     1    11
 -8.5153366593879912E-02 a       187     0     8     1    12
 -6.1841269985060718E-02 a       188     0     8     1    13
  6.7191225639191290E-02 a       189     0     8     1    14
 -8.5307043934019833E-02 a       190     0     8     1    15
  5.1801454729821887E-02 a       191     0     8     1    16
 -7.1935803355249101E-02 a       192     0     8     1    17
  7.6232942664832644E-03 a       193     0     8     1    18
  4.5067327342949111E-02 a       194     0     8     1    19
 -1.6087923486032565E-01 a       195     0     8     1    20
  1.9852716938798479E-01 a       196     0     8     1    21
 -1.5868809401055542E-01 a       197     0     8     1    22
  5.6463046023571710E-02 a       198     0     8     1    23
  1.4128113634492182E-02 a       199     0     8     1    24
  9.9929141920769377E-02 a       200     0     8     1    25
  3.0201989787524970E+00 a       201     0     9     1     1
  3.0555944630598186E-01 a       202     0     9     1     2
  6.1952386250159623E+00 a       203     0     9     1     3
 -2.0935400008311413E+00 a       204     0     9     1     4
 -1.4275557705323840E+00 a       205     0     9     1     5
  2.7477269664728499E+00 a       206     0     9     1     6
 -1.2079815659302984E+00 a       207     0     9     1     7
 -1.5762318289350163E+00 a       208     0     9     1     8
 -2.6778118395111670E+00 a       209     0     9     1     9
 -2.7581919260696655E+00 a       210     0     9     1    10
 -2.7591826756267408E+00 a       211     0     9     1    11
  2.9394643299129020E+00 a       212     0     9     1    12
  1.4374254569904770E+00 a       213     0     9     1    13
 -1.9023325407151968E+00 a       214     0     9     1    14
 -2.0173738047344800E+00 a       215     0     9     1    15
 -3.5318712105229291E+00 a       216     0     9     1    16
  4.1860650617995745E+00 a       217     0     9     1    17
  2.0845449351654675E+00 a       218     0     9     1    18
 -3.6665789892067626E+00 a       219     0     9     1    19
 -5.1110985965239077E+00 a       220     0     9     1    20
  2.0580240585595697E+00 a       221     0     9     1    21
  2.4079993316893198E+00 a       222     0     9     1    22
  2.0908285834204325E+00 a       223     0     9     1    23
  1.4100218969288385E+00 a       224     0     9     1    24
  6.7105627557320566E-02 a       225     0     9     1    25
 -4.2705597321916333E-01 a       226     0    10     1     1
  3.0013496977991883E-01 a       227     0    10     1     2
 -2.4111455439680318E+00 a       228     0    10     1     3
  3.8375096401579780E+00 a       229     0    10     1     4
  2.2182563619901310E+00 a       230     0    10     1     5
  6.2838874383705348E-02 a       231     0    10     1     6
 -1.8659744625039996E+00 a       232     0    10     1     7
  2.3832385035533230E-01 a       233     0    10     1     8
  2.9681643620433800E+00 a       234     0    10     1     9
  2.9627735350441422E+00 a       235     0    10     1    10
 -1.0804517859225113E-02 a       236     0    10     1    11
  1.3637103247965250E+00 a       237     0    10     1    12
  2.6738678773240911E+00 a       238     0    10     1    13
  1.7022896198954141E+00 a       239     0    10     1    14
  1.0432548645943709E-01 a       240     0    10     1    15
 -1.2113528377589422E+00 a       241     0    10     1    16
 -1.0805718649300129E+00 a       242     0    10     1    17
  2.0464566482548210E-01 a       243     0    10     1    18
  1.5622652266453352E+00 a       244     0    10     1    19
  1.0907388432563920E+00 a       245     0    10     1    20
 -1.1154193005225097E+00 a       246     0    10     1    21
  2.0219807940040622E+00 a       247     0    10     1    22
 -3.3439572443668113E+00 a       248     0    10     1    23
 -1.0976239225349573E+00 a       249     0    10     1    24
 -1.1484504009383838E+00 a       250     0    10     1    25
 -2.9210698565180211E+00 a       251     0    11     1     1
 -1.6429845667890706E+00 a       252     0    11     1     2
 -2.9202342796213068E+00 a       253     0    11     1     3
  1.8312577912348729E-01 a       254     0    11     1     4
  4.3128600113670751E-01 a       255     0    11     1     5
 -5.4548107573140481E+00 a       256     0    11     1     6
  5.7395096351048194E+00 a       257     0    11     1     7
  7.2888743831911995E-01 a       258     0    11     1     8
  2.6044944291174377E-01 a       259     0    11     1     9
 -2.9309742851904758E-01 a       260     0    11     1    10
  1.2303776792907595E+00 a       261     0    11     1    11
 -2.3789852123975779E+00 a       262     0    11     1    12
 -3.9574781803291117E+00 a       263     0    11     1    13
  2.8076178782419032E+00 a       264     0    11     1    14
  1.8707128356687051E+00 a       265     0    11     1    15
  1.6554214829106972E+00 a       266     0    11     1    16
 -4.0360445469013637E+00 a       267     0    11     1    17
 -1.3109428307088733E+00 a       268     0    11     1    18
  3.8919904510945655E+00 a       269     0    11     1    19
  7.4924494813824847E+00 a       270     0    11     1    20
 -1.7211030058140866E+00 a       271     0    11     1    21
 -4.0755061469516169E+00 a       272     0    11     1    22
  2.5411121593940154E+00 a       273     0    11     1    23
 -3.8746447481539954E-03 a       274     0    11     1    24
  3.1292612279502374E+00 a       275     0    11     1    25
  2.0176414838295980E+00 a       276     0    12     1     1
 -5.3662423157107071E+00 a       277     0    12     1     2
 -4.7066143271779044E+00 a       278     0    12     1     3
  2.3340561600966661E+00 a       279     0    12     1     4
 -6.1583418335564408E+00 a       280     0    12     1     5
 -2.7603683435882518E+00 a       281     0    12     1     6
  1.5701435196942590E+00 a       282     0    12     1     7
 -1.4553064769376902E+00 a       283     0    12     1     8
 -6.3214511333083552E+00 a       284     0    12     1     9
 -2.9795208686280250E+00 a       285     0    12     1    10
 -2.7506490445118472E+00 a       286     0    12     1    11
  7.8406477613616499E-01 a       287     0    12     1    12
 -5.8726858998182738E+00 a       288     0    12     1    13
  2.5491860920762854E+00 a       289     0    12     1    14
  6.0642167337086805E-01 a       290     0    12     1    15
