################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.8303569475003666E-01 a         1     0     1     1     1
  1.1440845314983499E-02 a         2     0     1     1     2
  1.7616942587513891E+00 a         3     0     1     1     3
 -9.3861119125838066E-01 a         4     0     1     1     4
 -1.4027378273289406E+00 a         5     0     1     1     5
  7.0223325839788773E+00 a         6     0     1     1     6
  3.4915647955000666E+00 a         7     0     1     1     7
  1.9503200075295914E+00 a         8     0     1     1     8
 -5.1814291701154431E+00 a         9     0     1     1     9
 -6.3585876546145714E+00 a        10     0     1     1    10
 -3.2379443427597026E+00 a        11     0     1     1    11
  3.2098051814622452E-01 a        12     0     1     1    12
 -7.9207810135639960E+00 a        13     0     1     1    13
 -3.4148550356935745E+00 a        14     0     1     1    14
 -3.4260141154222024E+00 a        15     0     1     1    15
 -1.0831768220093649E+00 a        16     0     1     1    16
  4.2010488932010883E+00 a        17     0     1     1    17
 -8.9336437500557164E-01 a        18     0     1     1    18
 -2.1629343072824110E+00 a        19     0     1     1    19
  9.2156653909301167E-01 a        20     0     1     1    20
  3.0832375161132091E+00 a        21     0     1     1    21
  7.6288870609272053E-01 a        22     0     1     1    22
  8.2883129773178688E+00 a        23     0     1     1    23
  1.2363025938648127E+00 a        24     0     1     1    24
  2.3990867083316392E-01 a        25     0     1     1    25
  1.0440574339186233E+00 a        26     0     2     1     1
  2.7314774115834328E-01 a        27     0     2     1     2
 -9.9905396230654608E-01 a        28     0     2     1     3
  2.8064078298866557E-01 a        29     0     2     1     4
 -1.1372583362490872E-01 a        30     0     2     1     5
 -1.4060826643809194E+00 a        31     0     2     1     6
 -1.8639074822929975E+00 a        32     0     2     1     7
  4.6106424052950075E-02 a        33     0     2     1     8
  1.1551030423537685E+00 a        34     0     2     1     9
  6.8586694336372167E-01 a        35     0     2     1    10
 -9.9858617979949960E-01 a        36     0     2     1    11
 -4.3893990373673714E-01 a        37     0     2     1    12
  1.7630020655326388E+00 a        38     0     2     1    13
  5.7851428270085026E-01 a        39     0     2     1    14
  5.8917897953058809E-02 a        40     0     2     1    15
 -1.1684618580002750E+00 a        41     0     2     1    16
 -1.5146753362385841E+00 a        42     0     2     1    17
 -3.8726327937822608E-01 a        43     0     2     1    18
  8.2159127237101648E-01 a        44     0     2     1    19
  2.3919941086645108E-01 a        45     0     2     1    20
  6.8580871294221823E-01 a        46     0     2     1    21
  2.9083176100762664E-01 a        47     0     2     1    22
 -3.0472753785768183E+00 a        48     0     2     1    23
  2.2381683960714005E-01 a        49     0     2     1    24
 -8.9739113204221654E-01 a        50     0     2     1    25
  6.0566801371167356E-01 a        51     0     3     1     1
 -1.8910540509485438E-01 a        52     0     3     1     2
 -2.2903799313349542E+00 a        53     0     3     1     3
  1.0374432051553870E+00 a        54     0     3     1     4
  3.7768951220036984E-01 a        55     0     3     1     5
 -5.6077212564081247E+00 a        56     0     3     1     6
 -4.3054716171892489E+00 a        57     0     3     1     7
 -7.9247645035024739E-01 a        58     0     3     1     8
  4.2153673554834254E+00 a        59     0     3     1     9
  4.3800209081424333E+00 a        60     0     3     1    10
  4.3073584390655323E-01 a        61     0     3     1    11
 -6.8895290459751113E-01 a        62     0     3     1    12
  6.5199322887994562E+00 a        63     0     3     1    13
