################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.4443703649632176E+00 a         1     0     1     1     1
  6.8604039298514428E+00 a         2     0     1     1     2
  6.2977175405522461E+00 a         3     0     1     1     3
  7.0548312405858491E+00 a         4     0     1     1     4
  1.0538002542242044E+00 a         5     0     1     1     5
  4.1755933922194171E+00 a         6     0     1     1     6
  8.1645228949538602E+00 a         7     0     1     1     7
 -1.8215794536780658E+00 a         8     0     1     1     8
  5.0185986525882758E+00 a         9     0     1     1     9
 -3.4467539126703559E+00 a        10     0     1     1    10
 -1.0899024139146510E+01 a        11     0     1     1    11
  1.8128821812308820E+00 a        12     0     1     1    12
 -2.0491592577056572E+00 a        13     0     1     1    13
 -5.4479438175505379E+00 a        14     0     1     1    14
 -5.7561220610462080E-02 a        15     0     1     1    15
  1.1395475920433775E+00 a        16     0     1     1    16
 -9.1274496104370439E-01 a        17     0     1     1    17
 -2.0437780899645963E+00 a        18     0     1     1    18
 -3.4344076686684972E+00 a        19     0     1     1    19
  5.6638230646430436E+00 a        20     0     1     1    20
  2.5892576761706474E+00 a        21     0     1     1    21
  7.7893369051095789E+00 a        22     0     1     1    22
  1.3913057793441344E-01 a        23     0     1     1    23
  1.8893519267833903E+00 a        24     0     1     1    24
 -2.0215530127959878E+00 a        25     0     1     1    25
  6.8943428723886679E-01 a        26     0     2     1     1
 -8.4223358134948745E-01 a        27     0     2     1     2
 -8.8853646115419482E-01 a        28     0     2     1     3
 -1.7770515568696110E+00 a        29     0     2     1     4
  1.9514204265423480E+00 a        30     0     2     1     5
 -3.6547464805196722E-01 a        31     0     2     1     6
 -7.8622008404408550E-01 a        32     0     2     1     7
  3.3948556007138048E-01 a        33     0     2     1     8
 -1.1768248363570704E+00 a        34     0     2     1     9
  1.5206582460458453E+00 a        35     0     2     1    10
  2.2525636851267290E+00 a        36     0     2     1    11
 -1.9112743001497017E+00 a        37     0     2     1    12
 -1.0155560377226567E+00 a        38     0     2     1    13
  2.0781422623386554E+00 a        39     0     2     1    14
 -1.0663457751966983E+00 a        40     0     2     1    15
 -6.8150109867918629E-01 a        41     0     2     1    16
  8.4869460692071697E-01 a        42     0     2     1    17
  1.5914099189943540E+00 a        43     0     2     1    18
 -7.4305833191406445E-01 a        44     0     2     1    19
 -1.1710230614577455E+00 a        45     0     2     1    20
 -1.3087593071105699E+00 a        46     0     2     1    21
 -2.5400349195264864E+00 a        47     0     2     1    22
 -7.2189161054712148E-01 a        48     0     2     1    23
 -1.1005756888701477E+00 a        49     0     2     1    24
  9.0081296060307159E-01 a        50     0     2     1    25
  2.1640925689049015E+00 a        51     0     3     1     1
 -4.0930027247995246E+00 a        52     0     3     1     2
 -4.2060368255028306E+00 a        53     0     3     1     3
 -5.9517404158687883E+00 a        54     0     3     1     4
  1.7925415105528122E+00 a        55     0     3     1     5
 -2.5011824150032167E+00 a        56     0     3     1     6
 -5.0713243629704854E+00 a        57     0     3     1     7
  1.7087464799569432E+00 a        58     0     3     1     8
 -3.6977743120065885E+00 a        59     0     3     1     9
  4.4189214591380876E+00 a        60     0     3     1    10
  9.2662518956628528E+00 a        61     0     3     1    11
 -3.1196939633704370E+00 a        62     0     3     1    12
 -7.0084657531900107E-01 a        63     0     3     1    13
  6.1682375255695661E+00 a        64     0     3     1    14
 -1.2711289980772440E+00 a        65     0     3     1    15
 -1.9008742654691433E+00 a        66     0     3     1    16
  1.0892536586214907E+00 a        67     0     3     1    17
  2.9983546044511415E+00 a        68     0     3     1    18
  7.1624946558879354E-01 a        69     0     3     1    19
 -4.4496594803517411E+00 a        70     0     3     1    20
 -3.2840944095487097E+00 a        71     0     3     1    21
 -7.5733791812154978E+00 a        72     0     3     1    22
 -1.0381917627592758E+00 a        73     0     3     1    23
 -2.0203923489514888E+00 a        74     0     3     1    24
  2.2428850028908904E+00 a        75     0     3     1    25
  1.8382081632711738E+00 a        76     0     4     1     1
 -6.3479139342775719E+00 a        77     0     4     1     2
 -3.4902762404742740E+00 a        78     0     4     1     3
 -1.0069551162616417E+00 a        79     0     4     1     4
 -3.0270036170767454E+00 a        80     0     4     1     5
 -1.9995146920321645E+00 a        81     0     4     1     6
 -5.2188335316142958E+00 a        82     0     4     1     7
