################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1453066671740311E+00 a         1     0     1     1     1
  8.5782251316475904E+00 a         2     0     1     1     2
 -8.1815886615249600E-01 a         3     0     1     1     3
  2.6479046035030316E+00 a         4     0     1     1     4
 -1.6407216412207906E+00 a         5     0     1     1     5
 -9.3372423657296111E-01 a         6     0     1     1     6
 -5.4262635574146090E-01 a         7     0     1     1     7
  1.9202917540265709E+00 a         8     0     1     1     8
  5.5886786470517142E+00 a         9     0     1     1     9
 -1.2955539920505328E+00 a        10     0     1     1    10
 -3.7305179796264354E+00 a        11     0     1     1    11
  1.2321286730359307E+00 a        12     0     1     1    12
  3.6274519878852556E+00 a        13     0     1     1    13
  2.7405697189431302E+00 a        14     0     1     1    14
 -2.5911029011753457E+00 a        15     0     1     1    15
  2.7358499163420409E+00 a        16     0     1     1    16
 -4.5926976125930628E+00 a        17     0     1     1    17
  1.0488532630542539E-01 a        18     0     1     1    18
 -9.9143360098451154E+00 a        19     0     1     1    19
 -2.8161977437967689E-01 a        20     0     1     1    20
 -5.7253459649189358E+00 a        21     0     1     1    21
  2.0736888939296660E+00 a        22     0     1     1    22
 -3.5921860197910154E+00 a        23     0     1     1    23
  6.4066582793038052E+00 a        24     0     1     1    24
  2.8480938493999677E+00 a        25     0     1     1    25
 -2.9586434371986658E-01 a        26     0     2     1     1
 -2.0780024767307328E+00 a        27     0     2     1     2
 -4.5416956777406242E-01 a        28     0     2     1     3
 -1.3230029827927912E+00 a        29     0     2     1     4
  1.0849809313918859E+00 a        30     0     2     1     5
 -1.6200081793698669E+00 a        31     0     2     1     6
 -1.3275982539537967E-01 a        32     0     2     1     7
 -2.1625307085581436E-01 a        33     0     2     1     8
 -1.4758482993161384E+00 a        34     0     2     1     9
  2.2866427932936939E-01 a        35     0     2     1    10
  9.4756282453444174E-01 a        36     0     2     1    11
 -2.8815100932315155E-02 a        37     0     2     1    12
 -9.0121291721058761E-01 a        38     0     2     1    13
 -3.1529596915927649E-01 a        39     0     2     1    14
  2.8648454775583515E-01 a        40     0     2     1    15
 -1.3423990792451257E-01 a        41     0     2     1    16
 -1.5749133611170363E-04 a        42     0     2     1    17
  2.9717033782593699E-01 a        43     0     2     1    18
  1.9840106824959463E+00 a        44     0     2     1    19
 -8.8525047311816107E-01 a        45     0     2     1    20
  1.8513584300761745E+00 a        46     0     2     1    21
 -1.1009939480064435E+00 a        47     0     2     1    22
  3.1814247550702535E-01 a        48     0     2     1    23
 -1.5519880739039649E+00 a        49     0     2     1    24
 -1.6209790873847838E+00 a        50     0     2     1    25
  3.1388793620316785E-01 a        51     0     3     1     1
 -7.3837643077077528E+00 a        52     0     3     1     2
 -2.0168164293138924E-01 a        53     0     3     1     3
 -2.8258652433724363E+00 a        54     0     3     1     4
  2.7005034069966753E+00 a        55     0     3     1     5
 -1.6808484591793307E+00 a        56     0     3     1     6
  1.6798262748060974E-01 a        57     0     3     1     7
 -1.4492367967507735E+00 a        58     0     3     1     8
 -4.1385497261303197E+00 a        59     0     3     1     9
  9.2489094969868124E-01 a        60     0     3     1    10
  2.9236883444717967E+00 a        61     0     3     1    11
 -3.5576638574522139E-02 a        62     0     3     1    12
 -3.1066573048238566E+00 a        63     0     3     1    13
 -1.1190421545703115E+00 a        64     0     3     1    14
  2.1979021869797468E+00 a        65     0     3     1    15
 -1.2448905112342485E+00 a        66     0     3     1    16
  2.8032937197147350E+00 a        67     0     3     1    17
  6.7442436980505649E-01 a        68     0     3     1    18
  7.9634842139580817E+00 a        69     0     3     1    19
 -1.1271878154814887E+00 a        70     0     3     1    20
  5.2293568317804597E+00 a        71     0     3     1    21
 -2.9552885711743815E+00 a        72     0     3     1    22
  2.6339286489579101E+00 a        73     0     3     1    23
 -5.7896373902614329E+00 a        74     0     3     1    24
 -3.6602838544593270E+00 a        75     0     3     1    25
 -1.9637201008074009E-01 a        76     0     4     1     1
  1.2443671722858194E+00 a        77     0     4     1     2
 -1.5881255139157624E+00 a        78     0     4     1     3
 -1.3333348334720789E+00 a        79     0     4     1     4
 -3.9967246518781012E+00 a        80     0     4     1     5
  1.3744896899067998E+00 a        81     0     4     1     6
 -1.4001092327994067E+00 a        82     0     4     1     7
 -1.0594555057948749E+00 a        83     0     4     1     8
  1.4609118461292325E+00 a        84     0     4     1     9
 -6.6070323921326990E-01 a        85     0     4     1    10
  1.0126907997718546E+00 a        86     0     4     1    11
 -1.2806190469142469E+00 a        87     0     4     1    12
 -1.6772704953939104E+00 a        88     0     4     1    13
 -3.6209448587423707E+00 a        89     0     4     1    14
  2.2593024977937182E+00 a        90     0     4     1    15
 -2.1096044976307819E+00 a        91     0     4     1    16
  2.7819617893155746E+00 a        92     0     4     1    17
 -6.1077032463070735E-01 a        93     0     4     1    18
  3.5447891585862776E+00 a        94     0     4     1    19
  3.5602903766582013E+00 a        95     0     4     1    20
  2.3461949258806993E+00 a        96     0     4     1    21
 -1.3551702260292340E+00 a        97     0     4     1    22
  4.0691253030451673E+00 a        98     0     4     1    23
 -3.7441462061036948E+00 a        99     0     4     1    24
 -2.2513052876684317E-01 a       100     0     4     1    25
  1.1755196839168858E+00 a       101     0     5     1     1
 -4.8595435600559411E-01 a       102     0     5     1     2
  2.0481645664185733E+00 a       103     0     5     1     3
  3.5493251432725401E+00 a       104     0     5     1     4
  2.3362036884373101E+00 a       105     0     5     1     5
  8.3552145406091960E-04 a       106     0     5     1     6
 -1.3930184492862499E-01 a       107     0     5     1     7
  7.9472798828549029E-01 a       108     0     5     1     8
 -1.7494596144058512E+00 a       109     0     5     1     9
  6.6197677309130981E-02 a       110     0     5     1    10
 -3.4673731593087544E+00 a       111     0     5     1    11
  1.5922873836561247E+00 a       112     0     5     1    12
  3.4713927327361978E+00 a       113     0     5     1    13
  3.1366925845726432E+00 a       114     0     5     1    14
 -4.1568227317327437E+00 a       115     0     5     1    15
  1.3385528585653561E+00 a       116     0     5     1    16
