################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3049506284408125E-01 a         1     0     1     1     1
  3.1619270218373856E+00 a         2     0     1     1     2
 -4.9961323742044552E+00 a         3     0     1     1     3
  4.5919104976001419E+00 a         4     0     1     1     4
  2.2048135170836387E+00 a         5     0     1     1     5
 -2.5215393204835218E-01 a         6     0     1     1     6
 -2.5001133398749200E+00 a         7     0     1     1     7
 -7.7189434235614662E+00 a         8     0     1     1     8
 -3.5239617261154915E-01 a         9     0     1     1     9
  2.3242238852879744E+00 a        10     0     1     1    10
  9.9920150187454385E-02 a        11     0     1     1    11
  1.0037016214607613E+00 a        12     0     1     1    12
 -1.8435393172412895E+00 a        13     0     1     1    13
 -2.4645125313907648E+00 a        14     0     1     1    14
 -1.0962151173541439E+00 a        15     0     1     1    15
  2.8580879024902988E+00 a        16     0     1     1    16
 -1.2028360086919005E+00 a        17     0     1     1    17
  1.0371001455068519E+01 a        18     0     1     1    18
  1.9599862471229945E-01 a        19     0     1     1    19
  5.1941802989015926E+00 a        20     0     1     1    20
  7.2398277416948531E+00 a        21     0     1     1    21
 -1.8083575202216879E+00 a        22     0     1     1    22
  5.6090383794907450E-01 a        23     0     1     1    23
  2.5021122288866859E+00 a        24     0     1     1    24
 -6.4488218318815829E+00 a        25     0     1     1    25
  1.4114176320850766E+00 a        26     0     2     1     1
 -7.8739557188207882E-02 a        27     0     2     1     2
  1.1503706365078452E+00 a        28     0     2     1     3
 -2.3698904144904738E+00 a        29     0     2     1     4
  1.0257432820626762E+00 a        30     0     2     1     5
  6.1227827925404855E-02 a        31     0     2     1     6
 -5.4211614797434426E-01 a        32     0     2     1     7
  2.0568304187528796E+00 a        33     0     2     1     8
 -2.6957110472732998E-01 a        34     0     2     1     9
  1.5473186870244073E+00 a        35     0     2     1    10
  2.7079557277949784E-01 a        36     0     2     1    11
