################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.8157769234271680E-01 a       116     0     5     1    16
  1.3927961732758520E+00 a       117     0     5     1    17
 -4.9017840522244743E-01 a       118     0     5     1    18
 -2.4582158018137892E+00 a       119     0     5     1    19
 -5.8821956800216970E+00 a       120     0     5     1    20
  2.0604172515411441E+00 a       121     0     5     1    21
  1.5455361636910361E+00 a       122     0     5     1    22
 -1.9088559404710621E+00 a       123     0     5     1    23
 -4.8331246240178949E-01 a       124     0     5     1    24
 -5.9413889823569432E+00 a       125     0     5     1    25
  2.0811412702607252E-01 a       126     0     6     1     1
 -5.3943161320576802E+00 a       127     0     6     1     2
  1.6166378785667268E-01 a       128     0     6     1     3
  1.3059566478295166E+00 a       129     0     6     1     4
  1.3491422005483802E+00 a       130     0     6     1     5
  5.8141906571409996E-01 a       131     0     6     1     6
 -8.9192131889467494E-02 a       132     0     6     1     7
 -6.8784010363017245E-01 a       133     0     6     1     8
 -6.0142024671621608E-01 a       134     0     6     1     9
 -5.1784148397698992E-01 a       135     0     6     1    10
  8.4173289973266108E-01 a       136     0     6     1    11
  6.1061428065510026E-01 a       137     0     6     1    12
 -1.9722212941764725E+00 a       138     0     6     1    13
 -1.1027041223701410E+00 a       139     0     6     1    14
  2.1707274785484270E+00 a       140     0     6     1    15
  1.9877609239915837E+00 a       141     0     6     1    16
 -6.0565785446960951E-01 a       142     0     6     1    17
  8.7628595390210617E-01 a       143     0     6     1    18
 -1.0678998910310327E+00 a       144     0     6     1    19
  2.1622725857992950E+00 a       145     0     6     1    20
 -8.5570844838918447E-01 a       146     0     6     1    21
 -1.8670959338500120E-01 a       147     0     6     1    22
  4.6285561143746884E-01 a       148     0     6     1    23
  4.0455639426915435E-01 a       149     0     6     1    24
  3.3129763122619860E+00 a       150     0     6     1    25
 -2.0050009531881757E-01 a       151     0     7     1     1
  8.2826912315173085E-01 a       152     0     7     1     2
 -8.6646852651032308E-02 a       153     0     7     1     3
 -4.1457377796927375E-01 a       154     0     7     1     4
 -2.7057721895038483E-01 a       155     0     7     1     5
 -3.7179152519836323E-01 a       156     0     7     1     6
  4.6391200286991535E-01 a       157     0     7     1     7
  4.8189433869350991E-02 a       158     0     7     1     8
  2.8177212800016788E-01 a       159     0     7     1     9
  2.7032432690296265E-01 a       160     0     7     1    10
 -2.9911979138402023E-01 a       161     0     7     1    11
 -8.3274983635437713E-02 a       162     0     7     1    12
  3.4916143824665347E-01 a       163     0     7     1    13
  4.3266509440949519E-01 a       164     0     7     1    14
 -6.2114096577461264E-01 a       165     0     7     1    15
 -6.9698072520960874E-01 a       166     0     7     1    16
  3.3759974404797125E-02 a       167     0     7     1    17
 -7.0466329895989277E-02 a       168     0     7     1    18
  4.4912401588565704E-01 a       169     0     7     1    19
 -2.1879371295717845E-01 a       170     0     7     1    20
  2.9656338490793650E-02 a       171     0     7     1    21
 -2.2895690824025769E-01 a       172     0     7     1    22
  4.6565118523372126E-02 a       173     0     7     1    23
 -3.9720505121049515E-01 a       174     0     7     1    24
 -7.2936004408347055E-01 a       175     0     7     1    25
 -3.7022607169299934E-02 a       176     0     8     1     1
  1.0456352087557266E-01 a       177     0     8     1     2
 -1.3843556191615441E-01 a       178     0     8     1     3
  1.4597055301863088E-01 a       179     0     8     1     4
  1.4219231493085165E-02 a       180     0     8     1     5
  1.3161366044189274E-01 a       181     0     8     1     6
 -5.0182555670389865E-02 a       182     0     8     1     7
  1.3281748794834230E-03 a       183     0     8     1     8
 -6.9500305710063506E-02 a       184     0     8     1     9
 -6.3518912019351587E-02 a       185     0     8     1    10
  2.4980936087040124E-02 a       186     0     8     1    11
  6.4922487113853136E-02 a       187     0     8     1    12
  7.9673445648928032E-02 a       188     0     8     1    13
  5.8144294871359054E-02 a       189     0     8     1    14
  4.5433044346638231E-02 a       190     0     8     1    15
  1.4771573310732189E-01 a       191     0     8     1    16
 -3.8661741539780789E-02 a       192     0     8     1    17
 -6.2530706453759383E-02 a       193     0     8     1    18
  5.6189069720210248E-04 a       194     0     8     1    19
