################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0782639768766273E+00 a         1     0     1     1     1
  2.5992875471766803E+00 a         2     0     1     1     2
  2.9237630851967431E+00 a         3     0     1     1     3
  5.3184481492213624E+00 a         4     0     1     1     4
 -2.8124481359430420E+00 a         5     0     1     1     5
 -2.5501352194568172E+00 a         6     0     1     1     6
  8.4892196040032275E-01 a         7     0     1     1     7
  9.9038032349965532E-01 a         8     0     1     1     8
  4.2576867063186059E+00 a         9     0     1     1     9
  2.5330618021760953E+00 a        10     0     1     1    10
  5.8953095126506794E-01 a        11     0     1     1    11
 -1.4733740081187538E-01 a        12     0     1     1    12
  1.0741926839119731E+00 a        13     0     1     1    13
 -4.2690854164785247E-01 a        14     0     1     1    14
 -9.9078654686582102E+00 a        15     0     1     1    15
  3.4345671750030564E+00 a        16     0     1     1    16
 -5.4604040137352072E-01 a        17     0     1     1    17
  1.6985189868703558E-02 a        18     0     1     1    18
  8.8854174459530633E+00 a        19     0     1     1    19
 -5.7539808668200072E+00 a        20     0     1     1    20
 -5.5434117096754432E-01 a        21     0     1     1    21
 -2.4098665794112053E+00 a        22     0     1     1    22
 -1.0453430790698146E+00 a        23     0     1     1    23
  1.5906171609466382E+00 a        24     0     1     1    24
  4.4036784869351073E-02 a        25     0     1     1    25
  5.0272731578467886E-02 a        26     0     2     1     1
 -2.7229632681296362E-01 a        27     0     2     1     2
 -2.4000886349055747E-01 a        28     0     2     1     3
 -1.1042305015459406E+00 a        29     0     2     1     4
 -3.8976519569994206E-01 a        30     0     2     1     5
  3.6330374713144653E-01 a        31     0     2     1     6
 -1.8950505173723095E-01 a        32     0     2     1     7
  3.5291699706952462E-01 a        33     0     2     1     8
 -8.1715215867485891E-01 a        34     0     2     1     9
 -1.0245857290409148E+00 a        35     0     2     1    10
 -7.9577421327390852E-01 a        36     0     2     1    11
 -4.9627782820742600E-01 a        37     0     2     1    12
  1.0382967500604876E+00 a        38     0     2     1    13
 -1.0924283303528025E-01 a        39     0     2     1    14
  1.7382089256673992E+00 a        40     0     2     1    15
 -1.3104472967929786E+00 a        41     0     2     1    16
  5.4697515267794494E-01 a        42     0     2     1    17
 -5.1537468360335126E-01 a        43     0     2     1    18
 -2.5966824558734207E+00 a        44     0     2     1    19
  3.5299075057521584E-01 a        45     0     2     1    20
  1.3225062951351044E-01 a        46     0     2     1    21
  5.2080909916842855E-01 a        47     0     2     1    22
  5.8077206338379206E-01 a        48     0     2     1    23
 -1.2983509459482481E+00 a        49     0     2     1    24
  7.8646304086408514E-01 a        50     0     2     1    25
  5.7584176098602280E-01 a        51     0     3     1     1
 -1.2598318321757862E+00 a        52     0     3     1     2
 -1.5282201053677857E+00 a        53     0     3     1     3
 -3.7391168760787172E+00 a        54     0     3     1     4
  1.1349439519632227E+00 a        55     0     3     1     5
  2.2458428672235531E+00 a        56     0     3     1     6
 -4.9695989848691480E-01 a        57     0     3     1     7
 -3.3653900132868181E-01 a        58     0     3     1     8
 -2.6828940271411694E+00 a        59     0     3     1     9
 -1.8572914993843956E+00 a        60     0     3     1    10
 -8.2880145480374168E-01 a        61     0     3     1    11
 -5.8545595879946355E-01 a        62     0     3     1    12
  7.1358808251909767E-01 a        63     0     3     1    13
 -4.6795866344497433E-01 a        64     0     3     1    14
  7.8406303882994353E+00 a        65     0     3     1    15
 -3.6085781071354672E+00 a        66     0     3     1    16
  1.1981959969402762E+00 a        67     0     3     1    17
 -5.8892702665655972E-01 a        68     0     3     1    18
 -7.8614791759107856E+00 a        69     0     3     1    19
  3.9183081530795554E+00 a        70     0     3     1    20
  2.3760407670857114E-01 a        71     0     3     1    21
  2.0161392940872163E+00 a        72     0     3     1    22
  1.0393189055811038E+00 a        73     0     3     1    23
 -2.1432208248147875E+00 a        74     0     3     1    24
