################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  8.1110265650972480E-01 a         1     0     1     1     1
  2.4343089447579151E+00 a         2     0     1     1     2
  1.6876850447666549E+00 a         3     0     1     1     3
  1.3395618418007160E+00 a         4     0     1     1     4
  2.9088891951728580E-02 a         5     0     1     1     5
  1.3333969629156415E+00 a         6     0     1     1     6
  2.6833538684684068E+00 a         7     0     1     1     7
  7.8660879837811182E-01 a         8     0     1     1     8
  1.8464367261553292E+00 a         9     0     1     1     9
 -3.5269707212242274E+00 a        10     0     1     1    10
  5.1371660073830938E+00 a        11     0     1     1    11
 -3.0335485860266713E+00 a        12     0     1     1    12
  4.8070250209710883E+00 a        13     0     1     1    13
 -3.0818192084298670E+00 a        14     0     1     1    14
 -1.4457647469178254E+00 a        15     0     1     1    15
  3.3068667947421559E+00 a        16     0     1     1    16
 -4.8978250213269101E+00 a        17     0     1     1    17
 -8.1012291149300641E-01 a        18     0     1     1    18
  1.9081075218131271E+00 a        19     0     1     1    19
 -1.4628730288997636E+01 a        20     0     1     1    20
  2.9478479187403206E-01 a        21     0     1     1    21
  9.6753154565473565E-01 a        22     0     1     1    22
 -5.2883958252746099E+00 a        23     0     1     1    23
 -3.4703498855148371E+00 a        24     0     1     1    24
 -5.0709776955640562E+00 a        25     0     1     1    25
  5.4930628889557953E-01 a        26     0     2     1     1
 -1.2604026593858850E+00 a        27     0     2     1     2
 -1.0073275575208057E-01 a        28     0     2     1     3
 -9.3646188679039399E-01 a        29     0     2     1     4
  4.6262052440088480E-01 a        30     0     2     1     5
 -7.1302224424281424E-01 a        31     0     2     1     6
  4.9979910899106822E-01 a        32     0     2     1     7
  5.6306097705059199E-01 a        33     0     2     1     8
  2.7785967103217646E-01 a        34     0     2     1     9
  8.9573215311141174E-01 a        35     0     2     1    10
 -1.0062992664222796E+00 a        36     0     2     1    11
  5.3638725657564512E-01 a        37     0     2     1    12
  6.0892141690032604E-02 a        38     0     2     1    13
  8.4438017328068915E-01 a        39     0     2     1    14
 -1.2819178768041478E-01 a        40     0     2     1    15
 -3.8573326907495503E-01 a        41     0     2     1    16
  1.0794193456299797E+00 a        42     0     2     1    17
  9.0290958971755519E-01 a        43     0     2     1    18
 -1.4208583988438539E+00 a        44     0     2     1    19
  3.6172604340171297E+00 a        45     0     2     1    20
 -3.5057065196570797E-01 a        46     0     2     1    21
 -8.1702786846856712E-01 a        47     0     2     1    22
 -4.4647877127181951E-01 a        48     0     2     1    23
  1.7333032875421037E+00 a        49     0     2     1    24
  2.3252352194092492E+00 a        50     0     2     1    25
 -1.2147379668317906E-01 a        51     0     3     1     1
 -2.6113625024263478E+00 a        52     0     3     1     2
 -7.1863780936033117E-01 a        53     0     3     1     3
 -1.4739548951627166E+00 a        54     0     3     1     4
  9.6440495545729699E-01 a        55     0     3     1     5
 -1.1741067388069877E+00 a        56     0     3     1     6
 -3.8425430618361245E-01 a        57     0     3     1     7
  6.4408337809577734E-02 a        58     0     3     1     8
  9.7625580476481774E-02 a        59     0     3     1     9
  3.8762451275134056E+00 a        60     0     3     1    10
 -3.5400974035443751E+00 a        61     0     3     1    11
  2.3677622368780509E+00 a        62     0     3     1    12
 -2.5311209948607001E+00 a        63     0     3     1    13
  2.2236110307431352E+00 a        64     0     3     1    14
  9.1800800026820373E-01 a        65     0     3     1    15
 -2.2162642864998787E+00 a        66     0     3     1    16
  4.1932356363542906E+00 a        67     0     3     1    17
  1.8703274815286925E+00 a        68     0     3     1    18
 -2.6491193082375366E+00 a        69     0     3     1    19
  1.2957788072576363E+01 a        70     0     3     1    20
 -9.7210410700881522E-01 a        71     0     3     1    21
 -1.6311273646654654E+00 a        72     0     3     1    22
  1.6572295768893219E+00 a        73     0     3     1    23
  4.6646766918167941E+00 a        74     0     3     1    24
  5.9858239751385511E+00 a        75     0     3     1    25
 -1.3987180457391022E+00 a        76     0     4     1     1
 -1.5454834188661697E+00 a        77     0     4     1     2
  1.3137107444649256E+00 a        78     0     4     1     3
 -5.8343803231063751E-01 a        79     0     4     1     4
 -1.1099386756336317E-01 a        80     0     4     1     5
