################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.2764144734361804E+00 a         1     0     1     1     1
  1.0882417106947564E+00 a         2     0     1     1     2
 -3.1805969435362980E+00 a         3     0     1     1     3
  4.6187018185499820E-02 a         4     0     1     1     4
  2.1470028071258782E-01 a         5     0     1     1     5
 -1.0727601258454191E+00 a         6     0     1     1     6
 -3.1016330748275978E-02 a         7     0     1     1     7
 -4.0396401035582752E-01 a         8     0     1     1     8
 -3.0935647019119367E-01 a         9     0     1     1     9
 -5.7017410672212976E-01 a        10     0     1     1    10
 -1.4946576864767783E-01 a        11     0     1     1    11
 -1.2564584432718748E+00 a        12     0     1     1    12
  1.3635055681799872E+00 a        13     0     1     1    13
 -1.4076254213702732E+00 a        14     0     1     1    14
 -1.2607588634119631E+00 a        15     0     1     1    15
 -1.1234600458844057E+00 a        16     0     1     1    16
  1.2137366633244298E+00 a        17     0     1     1    17
  3.4288676126520881E+00 a        18     0     1     1    18
  1.0592370318766270E-01 a        19     0     1     1    19
 -9.5515418178886013E-01 a        20     0     1     1    20
  7.4877188626717517E-01 a        21     0     1     1    21
 -6.9930684746853400E-01 a        22     0     1     1    22
 -1.9036969979381488E+00 a        23     0     1     1    23
  7.6753926420665564E-01 a        24     0     1     1    24
 -2.2521573314224370E+00 a        25     0     1     1    25
  1.3217952142965390E+00 a        26     0     2     1     1
 -3.2952983721788087E-01 a        27     0     2     1     2
  1.3934261258439240E+00 a        28     0     2     1     3
  2.7295718277069903E-01 a        29     0     2     1     4
 -3.1810339684825106E-01 a        30     0     2     1     5
  2.1060794656998033E-02 a        31     0     2     1     6
  7.2447690708875667E-01 a        32     0     2     1     7
 -6.1572483493983816E-02 a        33     0     2     1     8
  5.4376767612474131E-01 a        34     0     2     1     9
  3.7371319947092957E-01 a        35     0     2     1    10
  9.0822718839176719E-01 a        36     0     2     1    11
  3.9809866242354236E-01 a        37     0     2     1    12
 -3.6380393015252988E-01 a        38     0     2     1    13
  2.0141766550392765E-01 a        39     0     2     1    14
  1.3250986844547272E-01 a        40     0     2     1    15
  4.5177153171525092E-01 a        41     0     2     1    16
 -5.3330569403703165E-01 a        42     0     2     1    17
 -5.9127706881373832E-01 a        43     0     2     1    18
 -8.3893343720814240E-01 a        44     0     2     1    19
 -7.6815793253281445E-02 a        45     0     2     1    20
 -6.7513200109585136E-01 a        46     0     2     1    21
  1.3612898145272873E-01 a        47     0     2     1    22
  9.1316039487536349E-01 a        48     0     2     1    23
 -1.3334102455009567E-01 a        49     0     2     1    24
  8.8742862829356628E-01 a        50     0     2     1    25
  2.1949901997592436E+00 a        51     0     3     1     1
 -7.0163706477720245E-01 a        52     0     3     1     2
  3.9618832117239196E+00 a        53     0     3     1     3
  1.4609501487613211E-02 a        54     0     3     1     4
 -1.6303796174832622E-01 a        55     0     3     1     5
  6.8144593312012725E-01 a        56     0     3     1     6
  1.2164672044127209E+00 a        57     0     3     1     7
 -9.0953502183663118E-02 a        58     0     3     1     8
  6.1331303951097471E-01 a        59     0     3     1     9
  9.2503248250309122E-01 a        60     0     3     1    10
  9.9208479015303974E-01 a        61     0     3     1    11
  1.0190302547813026E+00 a        62     0     3     1    12
 -3.2105854969169612E-01 a        63     0     3     1    13
  1.2870498134077548E+00 a        64     0     3     1    14
  1.3576418855531003E-01 a        65     0     3     1    15
  1.0611621650945486E+00 a        66     0     3     1    16
 -1.8686408575680533E+00 a        67     0     3     1    17
 -3.7511223048162861E+00 a        68     0     3     1    18
 -8.0018190473349016E-01 a        69     0     3     1    19
  2.4293785749217786E-01 a        70     0     3     1    20
 -9.2990334695396892E-01 a        71     0     3     1    21
  1.9521062161620992E-01 a        72     0     3     1    22
  1.5875758285654635E+00 a        73     0     3     1    23
 -5.6938523251083395E-01 a        74     0     3     1    24
  1.7341781268855694E+00 a        75     0     3     1    25
 -2.1894305686428453E-01 a        76     0     4     1     1
 -7.9718375513219975E-01 a        77     0     4     1     2
 -1.2034640647129953E+00 a        78     0     4     1     3
 -7.5191142097019004E-01 a        79     0     4     1     4
  1.1974332917683523E+00 a        80     0     4     1     5
 -2.2840742579269141E-01 a        81     0     4     1     6
 -8.3296250407357519E-01 a        82     0     4     1     7
 -1.3112876122331571E-01 a        83     0     4     1     8
 -1.7853754156703272E-01 a        84     0     4     1     9
  3.5342481216067945E-01 a        85     0     4     1    10
 -5.5455880054610873E-01 a        86     0     4     1    11
  1.3339617668615333E+00 a        87     0     4     1    12
 -7.0077254552087520E-01 a        88     0     4     1    13
  1.3232551097352238E-01 a        89     0     4     1    14
 -1.0922210295736812E+00 a        90     0     4     1    15
  3.5154126075619391E-01 a        91     0     4     1    16
  1.1867344034024452E+00 a        92     0     4     1    17
  8.9683775363872231E-01 a        93     0     4     1    18
  2.6140827833699287E+00 a        94     0     4     1    19
 -8.2772268228181500E-01 a        95     0     4     1    20
  1.2737287530172683E+00 a        96     0     4     1    21
 -6.1921173527883200E-01 a        97     0     4     1    22
 -1.7894560109221898E+00 a        98     0     4     1    23
  6.7542897656163980E-01 a        99     0     4     1    24
  4.6722394940727985E-01 a       100     0     4     1    25
 -2.2589604337170988E+00 a       101     0     5     1     1
  5.3343881877693411E-01 a       102     0     5     1     2
 -2.4586944068983287E+00 a       103     0     5     1     3
  1.0259937134556261E+00 a       104     0     5     1     4
  9.8228080185884736E-01 a       105     0     5     1     5
  1.2582975423048084E+00 a       106     0     5     1     6
 -9.5945201226236920E-01 a       107     0     5     1     7
  1.5804894114941959E-01 a       108     0     5     1     8
 -1.8968149446572218E+00 a       109     0     5     1     9
 -1.9323206352987435E-01 a       110     0     5     1    10
 -4.6327630853641405E-01 a       111     0     5     1    11
 -9.7182273788304230E-01 a       112     0     5     1    12
  1.9642955481023843E+00 a       113     0     5     1    13
  6.0169989935305236E-02 a       114     0     5     1    14
  3.5611808153323271E-01 a       115     0     5     1    15
 -6.4923264618052035E-01 a       116     0     5     1    16
 -9.0437595488310063E-01 a       117     0     5     1    17
  3.2094949735817285E-01 a       118     0     5     1    18
 -1.4667265765919877E+00 a       119     0     5     1    19
 -2.5255463541344814E-01 a       120     0     5     1    20
 -1.3274434206750250E+00 a       121     0     5     1    21
 -2.6416779284554620E-01 a       122     0     5     1    22
  1.2511559818117264E+00 a       123     0     5     1    23
  5.2668211620608552E-01 a       124     0     5     1    24
 -1.4435468655936843E+00 a       125     0     5     1    25
  1.8575599960841915E+00 a       126     0     6     1     1
  3.1897721923948341E-01 a       127     0     6     1     2
  2.3604545865689674E+00 a       128     0     6     1     3
 -7.4335190818247732E-01 a       129     0     6     1     4
 -1.2963114113042609E+00 a       130     0     6     1     5
 -7.0620269263235080E-01 a       131     0     6     1     6
  1.0978445751985111E+00 a       132     0     6     1     7
  3.4430327642495645E-01 a       133     0     6     1     8
