################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2754455377731998E-01 a         1     0     1     1     1
  5.6375849904803244E-01 a         2     0     1     1     2
 -8.6480104003075586E-01 a         3     0     1     1     3
  5.8218239359973545E-01 a         4     0     1     1     4
 -2.3544034219897075E-01 a         5     0     1     1     5
  2.6981567531936318E-01 a         6     0     1     1     6
  4.2929319934241800E-01 a         7     0     1     1     7
 -3.5609944690930921E-02 a         8     0     1     1     8
  2.4066033935486671E-02 a         9     0     1     1     9
 -1.8035719857737653E-01 a        10     0     1     1    10
 -2.9632063354619107E+00 a        11     0     1     1    11
  9.6280554231043192E-01 a        12     0     1     1    12
  1.3493904938619208E-01 a        13     0     1     1    13
  2.4317422699877151E-02 a        14     0     1     1    14
  8.3144606109952468E-01 a        15     0     1     1    15
  3.0173463874062262E-01 a        16     0     1     1    16
  1.5860149680852262E-01 a        17     0     1     1    17
  5.6395817410591381E-02 a        18     0     1     1    18
  1.7908189322707796E-01 a        19     0     1     1    19
  8.0210798657675253E-01 a        20     0     1     1    20
  5.8995900504497845E-01 a        21     0     1     1    21
  3.0941816029771274E-01 a        22     0     1     1    22
  3.4271552145505885E-01 a        23     0     1     1    23
  7.3329586593390661E-01 a        24     0     1     1    24
 -1.0339699883121694E+00 a        25     0     1     1    25
  2.3033921412572292E-01 a        26     0     2     1     1
 -8.9493374214363333E-02 a        27     0     2     1     2
 -1.8203969007670234E-01 a        28     0     2     1     3
 -2.6219095871434561E-01 a        29     0     2     1     4
  4.5653608957252034E-01 a        30     0     2     1     5
 -2.8227645113409155E-01 a        31     0     2     1     6
 -5.3023628096123626E-02 a        32     0     2     1     7
 -3.0830557944241238E-01 a        33     0     2     1     8
 -3.3974945009147711E-01 a        34     0     2     1     9
 -4.2454979021856581E-01 a        35     0     2     1    10
  4.2836582549193675E-01 a        36     0     2     1    11
 -1.9354467666609393E-01 a        37     0     2     1    12
 -2.6628990194209817E-01 a        38     0     2     1    13
  4.0138707526315587E-01 a        39     0     2     1    14
 -3.3531813313394798E-01 a        40     0     2     1    15
  3.2999006974166772E-01 a        41     0     2     1    16
  5.3886215123298575E-01 a        42     0     2     1    17
  2.9580946398366254E-01 a        43     0     2     1    18
 -2.1435355038240694E-01 a        44     0     2     1    19
  2.8080062003799289E-01 a        45     0     2     1    20
 -1.1549278046134513E-01 a        46     0     2     1    21
  5.4010635633494397E-01 a        47     0     2     1    22
 -2.7430076627271915E-01 a        48     0     2     1    23
 -7.7365831190689882E-01 a        49     0     2     1    24
 -2.5347510951680985E-01 a        50     0     2     1    25
 -1.4608761882915638E-01 a        51     0     3     1     1
  1.9303431929786427E-01 a        52     0     3     1     2
  4.7691739114243031E-01 a        53     0     3     1     3
 -9.7414974254583298E-01 a        54     0     3     1     4
  5.7015675416576062E-01 a        55     0     3     1     5
 -4.2922718322446723E-01 a        56     0     3     1     6
 -3.3765032773132209E-01 a        57     0     3     1     7
 -1.4696631707476748E-01 a        58     0     3     1     8
  1.1017983760173038E-01 a        59     0     3     1     9
  1.6318196740898072E-01 a        60     0     3     1    10
  3.1423128222218253E+00 a        61     0     3     1    11
 -1.1524973357579943E-01 a        62     0     3     1    12
 -8.4493524120159547E-01 a        63     0     3     1    13
  1.0318018912403506E+00 a        64     0     3     1    14
 -9.5716096753475755E-01 a        65     0     3     1    15
 -6.8393970564676526E-02 a        66     0     3     1    16
  8.4113787153504788E-02 a        67     0     3     1    17
  7.9275455758480690E-02 a        68     0     3     1    18
 -3.3504558896548042E-01 a        69     0     3     1    19
 -6.5042098711952268E-02 a        70     0     3     1    20
 -5.2404491843381962E-01 a        71     0     3     1    21
  3.2856006588740316E-01 a        72     0     3     1    22
 -4.2617582486671618E-01 a        73     0     3     1    23
 -9.1421082765552164E-01 a        74     0     3     1    24
  1.2379894124249539E-01 a        75     0     3     1    25
 -3.3757927171462548E-01 a        76     0     4     1     1
 -4.5484716512571410E-01 a        77     0     4     1     2
  1.7234933887177655E+00 a        78     0     4     1     3
  8.4671806275111938E-01 a        79     0     4     1     4
  9.4963226789249289E-01 a        80     0     4     1     5
  4.1842946190286590E-01 a        81     0     4     1     6
  2.0161204627381013E-01 a        82     0     4     1     7
 -1.3416582487459927E-01 a        83     0     4     1     8
  4.0130651134590450E-01 a        84     0     4     1     9
  2.4966962825714129E-01 a        85     0     4     1    10
 -4.5876148244700883E-02 a        86     0     4     1    11
 -1.6096174257602307E+00 a        87     0     4     1    12
  1.4303638464057788E+00 a        88     0     4     1    13
 -8.3382041998808620E-01 a        89     0     4     1    14
 -3.6283164299502979E-01 a        90     0     4     1    15
  9.9079970421289812E-02 a        91     0     4     1    16
 -1.1879632598706598E+00 a        92     0     4     1    17
 -6.5122997272646310E-01 a        93     0     4     1    18
 -2.9576382990049432E-01 a        94     0     4     1    19
  5.1581783618805355E-01 a        95     0     4     1    20
  1.0427543121431125E-01 a        96     0     4     1    21
 -5.0990047118948534E-01 a        97     0     4     1    22
  5.0958099089913667E-01 a        98     0     4     1    23
  1.1147473608856409E+00 a        99     0     4     1    24
  7.7821480982313096E-01 a       100     0     4     1    25
 -8.0989382200821869E-01 a       101     0     5     1     1
  6.9849074983901049E-01 a       102     0     5     1     2
 -1.0204600547173730E+00 a       103     0     5     1     3
  5.4876401326922009E-01 a       104     0     5     1     4
 -9.0152853426173762E-01 a       105     0     5     1     5
  3.0986652682291862E-02 a       106     0     5     1     6
 -7.9863838139054422E-01 a       107     0     5     1     7
  8.5899754788896010E-01 a       108     0     5     1     8
 -1.4755806182291286E-02 a       109     0     5     1     9
 -2.1024102092063610E-01 a       110     0     5     1    10
 -4.8597880592969628E-01 a       111     0     5     1    11
  1.0071209907479590E+00 a       112     0     5     1    12
  8.8681062792205612E-02 a       113     0     5     1    13
 -1.8887396981569473E+00 a       114     0     5     1    14
  2.2714105885530413E+00 a       115     0     5     1    15
 -3.2811295015593312E-03 a       116     0     5     1    16
 -1.8319414688132424E-01 a       117     0     5     1    17
 -7.1927834420976311E-01 a       118     0     5     1    18
  5.3908442094354458E-01 a       119     0     5     1    19
