################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.9807592363239643E+00 a         1     0     1     1     1
  1.9930675083380569E+00 a         2     0     1     1     2
 -5.4985699021248391E-01 a         3     0     1     1     3
 -3.6602951244373566E-01 a         4     0     1     1     4
 -2.7227508502482713E-02 a         5     0     1     1     5
  2.9986633042666240E+00 a         6     0     1     1     6
 -1.0846847270401139E+00 a         7     0     1     1     7
  6.8340082898466881E-01 a         8     0     1     1     8
  1.3356406843939743E+00 a         9     0     1     1     9
  1.6917329953648854E+00 a        10     0     1     1    10
  2.5320281898527908E+00 a        11     0     1     1    11
 -8.6917744165272437E-01 a        12     0     1     1    12
  8.3397889893848742E-01 a        13     0     1     1    13
  4.6640324811395950E-01 a        14     0     1     1    14
  1.6987496040041605E-01 a        15     0     1     1    15
  8.2133617225740052E-01 a        16     0     1     1    16
  6.9575559827361699E-01 a        17     0     1     1    17
  2.5894636681437894E-01 a        18     0     1     1    18
 -8.6759162258876499E-01 a        19     0     1     1    19
 -3.6488596385764632E-01 a        20     0     1     1    20
  7.2153840165833283E-01 a        21     0     1     1    21
  3.7315507230139033E-01 a        22     0     1     1    22
 -2.0559429828863279E-01 a        23     0     1     1    23
  8.8666885749047286E-01 a        24     0     1     1    24
  7.5295701822060779E-01 a        25     0     1     1    25
 -1.1424904460513570E+00 a        26     0     2     1     1
 -3.2187599620179985E-01 a        27     0     2     1     2
 -4.4997591356375287E-02 a        28     0     2     1     3
 -4.2105735993454613E-01 a        29     0     2     1     4
 -7.0592510445771106E-01 a        30     0     2     1     5
 -8.6115298106652483E-01 a        31     0     2     1     6
  4.5332657070293450E-02 a        32     0     2     1     7
 -3.4881891785652064E-01 a        33     0     2     1     8
 -5.6145004076246274E-01 a        34     0     2     1     9
  1.2712542895604695E-01 a        35     0     2     1    10
 -7.4380431861682272E-01 a        36     0     2     1    11
 -3.8184433603369944E-01 a        37     0     2     1    12
 -4.1638649867920235E-01 a        38     0     2     1    13
 -5.4165734691850465E-01 a        39     0     2     1    14
  6.0446223085616524E-01 a        40     0     2     1    15
 -6.5931763130815990E-01 a        41     0     2     1    16
 -5.3306831365400553E-01 a        42     0     2     1    17
 -3.2010617005926535E-02 a        43     0     2     1    18
  2.4420484655507813E-01 a        44     0     2     1    19
  1.5356061690307778E+00 a        45     0     2     1    20
 -4.7548267482582440E-01 a        46     0     2     1    21
 -2.5533531929383196E-01 a        47     0     2     1    22
 -1.0544038409270482E+00 a        48     0     2     1    23
 -8.2767065231768716E-02 a        49     0     2     1    24
 -3.9320863405998846E-01 a        50     0     2     1    25
 -3.3256527235931932E+00 a        51     0     3     1     1
 -2.6058762477182240E+00 a        52     0     3     1     2
  2.5384373254379483E-01 a        53     0     3     1     3
  5.8327830619256088E-02 a        54     0     3     1     4
 -6.3293121300464472E-01 a        55     0     3     1     5
 -2.8659037015336106E+00 a        56     0     3     1     6
  6.8797500194220329E-01 a        57     0     3     1     7
 -9.1215928497159859E-01 a        58     0     3     1     8
 -6.8811639601147001E-01 a        59     0     3     1     9
 -6.3922310205527888E-01 a        60     0     3     1    10
 -2.3550177428599604E+00 a        61     0     3     1    11
  1.4385866491403827E+00 a        62     0     3     1    12
 -9.1147383851621899E-01 a        63     0     3     1    13
 -3.0180667200316086E-01 a        64     0     3     1    14
  1.2562785205088969E+00 a        65     0     3     1    15
 -9.2331210684125831E-01 a        66     0     3     1    16
 -4.4491006208271860E-01 a        67     0     3     1    17
  2.8194007214839939E-01 a        68     0     3     1    18
  9.0076762751077610E-01 a        69     0     3     1    19
  1.7812019086447994E+00 a        70     0     3     1    20
 -1.1441578533767816E+00 a        71     0     3     1    21
 -6.9436974274472363E-01 a        72     0     3     1    22
 -1.0256997261951184E+00 a        73     0     3     1    23
 -1.1859109664740577E+00 a        74     0     3     1    24
 -1.3528278940847827E+00 a        75     0     3     1    25
  4.4674500008596357E-01 a        76     0     4     1     1
 -4.4879458490076873E-01 a        77     0     4     1     2
  1.1190951435203236E+00 a        78     0     4     1     3
  4.3353552645858440E-01 a        79     0     4     1     4
  1.5555629980469163E+00 a        80     0     4     1     5
  6.1856842240400789E-01 a        81     0     4     1     6
 -5.5397364005482674E-01 a        82     0     4     1     7
  9.4161536756825670E-01 a        83     0     4     1     8
  1.0545773662513280E+00 a        84     0     4     1     9
 -2.3552406758503412E+00 a        85     0     4     1    10
 -6.4917382433136128E-01 a        86     0     4     1    11
 -1.6673577955329169E+00 a        87     0     4     1    12
 -1.5340180908843404E-01 a        88     0     4     1    13
 -2.6861318283230223E-02 a        89     0     4     1    14
 -2.5140048069183663E+00 a        90     0     4     1    15
  1.9364508256577131E-01 a        91     0     4     1    16
 -2.8580308244695579E-01 a        92     0     4     1    17
  1.6847238814876675E-01 a        93     0     4     1    18
 -7.9195488145344672E-01 a        94     0     4     1    19
 -3.8417635175808718E+00 a        95     0     4     1    20
  4.7300540792233825E-01 a        96     0     4     1    21
  1.0504366353825445E+00 a        97     0     4     1    22
  4.4057210141560943E-01 a        98     0     4     1    23
  3.9202535250354531E-01 a        99     0     4     1    24
  1.8830152296130603E-01 a       100     0     4     1    25
  1.3480361191914192E+00 a       101     0     5     1     1
  2.7213691533813766E+00 a       102     0     5     1     2
 -8.8147151125689838E-01 a       103     0     5     1     3
  6.5641938837090352E-01 a       104     0     5     1     4
  1.4655202471588191E-01 a       105     0     5     1     5
  3.1405524112104327E-01 a       106     0     5     1     6
  3.2936393917422419E-01 a       107     0     5     1     7
  1.2915820506556272E-01 a       108     0     5     1     8
 -7.0333812801706730E-01 a       109     0     5     1     9
  1.3587266957639443E+00 a       110     0     5     1    10
  1.0277683418230816E+00 a       111     0     5     1    11
  2.4761886159011168E+00 a       112     0     5     1    12
  1.9514065838996417E+00 a       113     0     5     1    13
  1.4104160409631410E+00 a       114     0     5     1    14
  5.9863166241992216E-01 a       115     0     5     1    15
  1.7729120188443344E+00 a       116     0     5     1    16
  9.9094612530742809E-01 a       117     0     5     1    17
 -2.5843903414193052E+00 a       118     0     5     1    18
 -6.2358018416848349E-01 a       119     0     5     1    19
  1.8439994321469035E+00 a       120     0     5     1    20
 -4.6785551111373425E-01 a       121     0     5     1    21
  8.7818704372771539E-01 a       122     0     5     1    22
  1.9044831109589864E+00 a       123     0     5     1    23
 -8.6400984949920134E-01 a       124     0     5     1    24
  1.4977033421128867E+00 a       125     0     5     1    25
 -1.0394432009615178E+00 a       126     0     6     1     1
 -2.2444228660578336E+00 a       127     0     6     1     2
 -4.8184369579326814E-04 a       128     0     6     1     3
 -3.9743181284173618E-01 a       129     0     6     1     4
 -8.1296500340274036E-01 a       130     0     6     1     5
 -7.6463268995990985E-01 a       131     0     6     1     6
  5.9640434296236507E-02 a       132     0     6     1     7
 -3.9412023361051302E-01 a       133     0     6     1     8
 -1.2155574026743036E-01 a       134     0     6     1     9
 -5.4922496391746589E-01 a       135     0     6     1    10
 -1.7375470127215575E-01 a       136     0     6     1    11
 -1.3049280029946477E+00 a       137     0     6     1    12
 -1.3061426768972166E+00 a       138     0     6     1    13
 -1.1185648965851411E+00 a       139     0     6     1    14
  8.4801687826843320E-03 a       140     0     6     1    15
 -1.1604101269452747E+00 a       141     0     6     1    16
 -3.4861219473128002E-01 a       142     0     6     1    17
  2.1383310777925257E+00 a       143     0     6     1    18
  1.0237870450767823E+00 a       144     0     6     1    19
 -3.7971484823895743E-02 a       145     0     6     1    20
  2.1354309381084360E-01 a       146     0     6     1    21
 -1.2994241019444079E+00 a       147     0     6     1    22
 -2.0153734546574276E+00 a       148     0     6     1    23
  8.6482940977121847E-01 a       149     0     6     1    24
 -8.2426476122852144E-01 a       150     0     6     1    25
  3.2498408674707735E-01 a       151     0     7     1     1
  5.8098183952785498E-01 a       152     0     7     1     2
  2.0232766709583322E-01 a       153     0     7     1     3
  8.9998293533857618E-02 a       154     0     7     1     4
  2.9914054400043016E-01 a       155     0     7     1     5
  3.5800092503521519E-01 a       156     0     7     1     6
 -1.2545605531157278E-01 a       157     0     7     1     7
  2.4082836946381347E-01 a       158     0     7     1     8
  1.1917547945179198E-01 a       159     0     7     1     9
  1.1596255279162387E-01 a       160     0     7     1    10
  4.0876548610620364E-03 a       161     0     7     1    11
  2.1506839143803377E-01 a       162     0     7     1    12
  4.3560803832929779E-01 a       163     0     7     1    13
  3.3051243543986114E-01 a       164     0     7     1    14
 -3.0255793550959757E-02 a       165     0     7     1    15
  3.6675597431176726E-01 a       166     0     7     1    16
 -5.5553877825059800E-02 a       167     0     7     1    17
 -4.8012222261220000E-01 a       168     0     7     1    18
 -3.3554797780386519E-01 a       169     0     7     1    19
 -1.7312177227287429E-01 a       170     0     7     1    20
 -1.1131484386069194E-01 a       171     0     7     1    21
  3.7932308534108183E-01 a       172     0     7     1    22
  6.5412232845000684E-01 a       173     0     7     1    23
 -2.2315216075981309E-01 a       174     0     7     1    24
  7.2245790398345264E-02 a       175     0     7     1    25
  6.8555828805001398E-02 a       176     0     8     1     1
  4.0850809276052183E-02 a       177     0     8     1     2
 -1.0788285803055356E-02 a       178     0     8     1     3
  9.6398085976527020E-02 a       179     0     8     1     4
 -2.8295777951833648E-02 a       180     0     8     1     5
  1.7189565132693631E-02 a       181     0     8     1     6
  7.7726561973729319E-02 a       182     0     8     1     7
 -9.6906197380371428E-02 a       183     0     8     1     8
 -1.9917550046373098E-01 a       184     0     8     1     9
 -2.3017027390003227E-02 a       185     0     8     1    10
  4.7000488955906451E-02 a       186     0     8     1    11
 -6.8976064143142543E-02 a       187     0     8     1    12
 -3.9759725343109141E-02 a       188     0     8     1    13
 -8.4028371463398366E-02 a       189     0     8     1    14
 -8.6386868027750835E-02 a       190     0     8     1    15
 -7.7927041263844338E-02 a       191     0     8     1    16
  3.8320399176801308E-02 a       192     0     8     1    17
 -4.0427758740574742E-02 a       193     0     8     1    18
  3.2017759569025528E-02 a       194     0     8     1    19
  1.4154461338335944E-01 a       195     0     8     1    20
 -1.3104069695234418E-02 a       196     0     8     1    21
 -5.8648658774648277E-03 a       197     0     8     1    22
 -8.9749868909463099E-02 a       198     0     8     1    23
  1.2140103734057563E-01 a       199     0     8     1    24
  9.3933185660913687E-02 a       200     0     8     1    25
 -9.4685796505370279E-01 a       201     0     9     1     1
  2.2945962445295498E+00 a       202     0     9     1     2
  1.8324714776550941E+00 a       203     0     9     1     3
 -3.2771458023037892E-01 a       204     0     9     1     4
  2.8587795401556892E+00 a       205     0     9     1     5
  1.4738918765278874E+00 a       206     0     9     1     6
 -1.1511630460612291E-02 a       207     0     9     1     7
 -1.3885625803055276E-01 a       208     0     9     1     8
  3.8783118578039533E-01 a       209     0     9     1     9
 -2.6672828712725196E+00 a       210     0     9     1    10
 -1.1930742842284634E+00 a       211     0     9     1    11
 -3.8839580441030730E+00 a       212     0     9     1    12
 -6.3862634405546526E-01 a       213     0     9     1    13
  3.7238774879140513E-01 a       214     0     9     1    14
 -4.1021972375228843E-01 a       215     0     9     1    15
  7.4536151706585202E-02 a       216     0     9     1    16
 -1.9158116978334463E+00 a       217     0     9     1    17
 -3.7936856058067852E+00 a       218     0     9     1    18
 -4.9503669109009579E-01 a       219     0     9     1    19
 -6.8695434692582347E-01 a       220     0     9     1    20
 -1.0511140666314309E+00 a       221     0     9     1    21
  2.4574366368866092E+00 a       222     0     9     1    22
  1.7376558520385654E+00 a       223     0     9     1    23
  1.3528752683158307E+00 a       224     0     9     1    24
  2.8379736279751868E+00 a       225     0     9     1    25
 -2.1993699872850754E+00 a       226     0    10     1     1
 -8.3536773073702335E+00 a       227     0    10     1     2
 -3.9970560667089727E-01 a       228     0    10     1     3
  8.9445953468592843E-01 a       229     0    10     1     4
 -4.7543759127426710E-01 a       230     0    10     1     5
 -5.6429737155398776E+00 a       231     0    10     1     6
  4.6721243921162203E-01 a       232     0    10     1     7
 -6.5363355684430791E-01 a       233     0    10     1     8
 -5.1040605900945868E-01 a       234     0    10     1     9
 -5.0613626345593343E-01 a       235     0    10     1    10
  6.0407683042074223E-01 a       236     0    10     1    11
