################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4945875378991708E-01 a         1     0     1     1     1
 -1.1173892670545102E-01 a         2     0     1     1     2
  2.8100769298533885E+00 a         3     0     1     1     3
 -6.1293190271150499E-01 a         4     0     1     1     4
  1.7573504781838318E+00 a         5     0     1     1     5
  9.3992752531270274E-01 a         6     0     1     1     6
  4.5139926007420463E+00 a         7     0     1     1     7
  2.3457048748581483E-01 a         8     0     1     1     8
  4.5581359438524671E-01 a         9     0     1     1     9
  1.9103787837226660E-01 a        10     0     1     1    10
  3.3833784391555888E-01 a        11     0     1     1    11
  3.8603916403968930E-01 a        12     0     1     1    12
  1.2737470278020513E+00 a        13     0     1     1    13
 -6.9649078043513424E-01 a        14     0     1     1    14
  1.1336966191998206E+00 a        15     0     1     1    15
  4.9184363949924753E-01 a        16     0     1     1    16
 -1.4338200936768501E+00 a        17     0     1     1    17
 -5.6053020724128233E-01 a        18     0     1     1    18
 -1.9944623985103582E+00 a        19     0     1     1    19
  1.0394115705974120E-02 a        20     0     1     1    20
 -1.1610834561584285E+00 a        21     0     1     1    21
 -9.6032413805983707E-01 a        22     0     1     1    22
 -7.8229953394993584E-02 a        23     0     1     1    23
 -7.6077876550291537E-02 a        24     0     1     1    24
  1.3953240391838377E+00 a        25     0     1     1    25
  4.7067634456703766E-01 a        26     0     2     1     1
 -2.6660497649887654E-01 a        27     0     2     1     2
 -1.0728882234703787E+00 a        28     0     2     1     3
  2.7183026063636212E-01 a        29     0     2     1     4
 -7.7601646216506304E-01 a        30     0     2     1     5
  4.7010404945270617E-02 a        31     0     2     1     6
 -9.9155152340480468E-01 a        32     0     2     1     7
  3.8798251743314349E-01 a        33     0     2     1     8
  9.6134955405385095E-02 a        34     0     2     1     9
 -7.8776892903071960E-01 a        35     0     2     1    10
  6.7762585195834363E-02 a        36     0     2     1    11
  1.0358712353689863E-01 a        37     0     2     1    12
  6.5596610954560641E-01 a        38     0     2     1    13
 -4.3585688213776580E-01 a        39     0     2     1    14
 -2.0876452437858900E-01 a        40     0     2     1    15
  3.5323104767504715E-01 a        41     0     2     1    16
  4.3992627649574667E-01 a        42     0     2     1    17
  3.7205788060962941E-01 a        43     0     2     1    18
  6.8986296639911937E-01 a        44     0     2     1    19
  5.9727561013559172E-01 a        45     0     2     1    20
 -3.1818236920743198E-01 a        46     0     2     1    21
 -7.2340205197100105E-02 a        47     0     2     1    22
  2.7843122290152961E-01 a        48     0     2     1    23
 -2.1353504487073943E-01 a        49     0     2     1    24
 -7.2011891378613843E-02 a        50     0     2     1    25
  3.3300266932847288E-02 a        51     0     3     1     1
 -8.0191215575641905E-01 a        52     0     3     1     2
 -2.9647921894933713E+00 a        53     0     3     1     3
  9.9820838976587867E-01 a        54     0     3     1     4
 -2.2724907466023216E+00 a        55     0     3     1     5
 -1.3291775904092711E+00 a        56     0     3     1     6
 -4.1095298557605986E+00 a        57     0     3     1     7
  5.3456565408130907E-01 a        58     0     3     1     8
 -1.7747049084711605E-01 a        59     0     3     1     9
 -1.0163914855729503E+00 a        60     0     3     1    10
  2.0224816740755341E-01 a        61     0     3     1    11
  1.0321407949724692E-02 a        62     0     3     1    12
  3.5919565282851595E-01 a        63     0     3     1    13
 -9.3424723420042199E-01 a        64     0     3     1    14
 -9.6346314857764281E-01 a        65     0     3     1    15
  9.3090236008517391E-01 a        66     0     3     1    16
  7.0799346306512012E-01 a        67     0     3     1    17
  6.1711473774316705E-01 a        68     0     3     1    18
  1.6710790507523940E+00 a        69     0     3     1    19
  9.3828619466940910E-01 a        70     0     3     1    20
  1.7338225720695022E-01 a        71     0     3     1    21
  4.9214677874332180E-01 a        72     0     3     1    22
  5.8790193051811775E-02 a        73     0     3     1    23
 -3.3205753765520057E-01 a        74     0     3     1    24
 -4.7978371841105205E-01 a        75     0     3     1    25
 -4.2139338085333256E-01 a        76     0     4     1     1
  1.3339554272695835E+00 a        77     0     4     1     2
  1.7459536256856989E-01 a        78     0     4     1     3
 -4.5660873016298759E-01 a        79     0     4     1     4
  7.1105651679321691E-01 a        80     0     4     1     5
  7.7951134694831656E-02 a        81     0     4     1     6
 -4.2297372845184072E-01 a        82     0     4     1     7
 -5.9095665722846180E-01 a        83     0     4     1     8
 -1.0488189550714206E+00 a        84     0     4     1     9
  6.2202826386300503E-01 a        85     0     4     1    10
 -9.3171342065786988E-01 a        86     0     4     1    11
 -1.0258165174594100E+00 a        87     0     4     1    12
 -1.7089961948326460E+00 a        88     0     4     1    13
  1.8571898549358503E+00 a        89     0     4     1    14
  1.4366543748667810E+00 a        90     0     4     1    15
 -1.6621288405818591E-01 a        91     0     4     1    16
  9.0074507129805026E-01 a        92     0     4     1    17
  1.7652780968171117E-01 a        93     0     4     1    18
  2.0133107134123163E-01 a        94     0     4     1    19
 -5.5796221008392766E-01 a        95     0     4     1    20
  1.5842527264956947E+00 a        96     0     4     1    21
  9.4202032728397211E-01 a        97     0     4     1    22
  5.7855331466446547E-01 a        98     0     4     1    23
  1.0483280756880631E+00 a        99     0     4     1    24
 -2.0734393645145435E+00 a       100     0     4     1    25
 -1.9490565445586134E+00 a       101     0     5     1     1
 -4.7696437482266396E-01 a       102     0     5     1     2
  1.2610486128696314E+00 a       103     0     5     1     3
 -1.8410364038190421E+00 a       104     0     5     1     4
  1.2465097011025357E+00 a       105     0     5     1     5
  6.1289490540568514E-01 a       106     0     5     1     6
  2.0936443138640284E+00 a       107     0     5     1     7
 -1.2709685618861317E+00 a       108     0     5     1     8
  3.6730377107406686E-01 a       109     0     5     1     9
  1.8650920348267561E+00 a       110     0     5     1    10
 -1.7861464311151927E+00 a       111     0     5     1    11
  3.3620351985715047E-01 a       112     0     5     1    12
 -3.0828993753243222E-01 a       113     0     5     1    13
  2.7311197902335171E-02 a       114     0     5     1    14
 -1.5356504362360455E+00 a       115     0     5     1    15
 -1.0414263230073044E+00 a       116     0     5     1    16
 -8.2371474652033816E-01 a       117     0     5     1    17
 -6.1430542553811951E-01 a       118     0     5     1    18
 -1.1646381249134936E+00 a       119     0     5     1    19
 -1.5637662941911070E+00 a       120     0     5     1    20
 -7.5779113091833517E-01 a       121     0     5     1    21
 -2.2956477778575968E+00 a       122     0     5     1    22
 -1.4491288194256242E+00 a       123     0     5     1    23
  1.2871520192882860E-01 a       124     0     5     1    24
  1.7618592297574245E+00 a       125     0     5     1    25
  1.8706495512498538E+00 a       126     0     6     1     1
  9.3648347734570303E-01 a       127     0     6     1     2
 -6.3941651178045433E-01 a       128     0     6     1     3
  1.9924959176501273E+00 a       129     0     6     1     4
 -1.3245024725881429E+00 a       130     0     6     1     5
 -2.8699961349476927E-01 a       131     0     6     1     6
 -1.7279108834530057E+00 a       132     0     6     1     7
  1.1919501514104311E+00 a       133     0     6     1     8
  5.3646937461487187E-01 a       134     0     6     1     9
 -1.9135660907210597E+00 a       135     0     6     1    10
  1.7420957554802532E+00 a       136     0     6     1    11
  3.8062158733136892E-01 a       137     0     6     1    12
  1.8317848498263525E-01 a       138     0     6     1    13
  1.7099604325945612E-02 a       139     0     6     1    14
  4.2526693762153606E-01 a       140     0     6     1    15
  1.2503343928366171E+00 a       141     0     6     1    16
 -9.7400707227114261E-02 a       142     0     6     1    17
  5.3993802300962090E-01 a       143     0     6     1    18
  8.1064851671154381E-01 a       144     0     6     1    19
  1.0788363202619073E+00 a       145     0     6     1    20
  6.2203280779867176E-01 a       146     0     6     1    21
  1.5634904342771272E+00 a       147     0     6     1    22
  8.8536090097921727E-01 a       148     0     6     1    23
 -3.3367424005652163E-01 a       149     0     6     1    24
 -1.5315271193228000E-01 a       150     0     6     1    25
 -7.0469318756651111E-01 a       151     0     7     1     1
 -6.1173229901406356E-01 a       152     0     7     1     2
  1.9597549459603708E-01 a       153     0     7     1     3
 -5.5206440377129662E-01 a       154     0     7     1     4
  2.9031181870125572E-01 a       155     0     7     1     5
 -2.1765747647672147E-02 a       156     0     7     1     6
  7.0256007661140907E-01 a       157     0     7     1     7
 -4.2023446885287252E-01 a       158     0     7     1     8
 -3.9297605781237477E-01 a       159     0     7     1     9
  4.7975699925789034E-01 a       160     0     7     1    10
 -4.1156220871381122E-01 a       161     0     7     1    11
 -1.3636808055301050E-01 a       162     0     7     1    12
 -2.8453965612274749E-02 a       163     0     7     1    13
  1.2240355494470198E-01 a       164     0     7     1    14
 -1.1647011602033483E-01 a       165     0     7     1    15
 -3.9780457012286230E-01 a       166     0     7     1    16
  2.4106743240939879E-02 a       167     0     7     1    17
 -4.9034671639362461E-02 a       168     0     7     1    18
 -3.0123797683237952E-01 a       169     0     7     1    19
 -3.0882538667750226E-01 a       170     0     7     1    20
 -1.5499282941825965E-01 a       171     0     7     1    21
 -3.6775031213709913E-01 a       172     0     7     1    22
 -1.7717149658759215E-01 a       173     0     7     1    23
 -9.8517513670922773E-03 a       174     0     7     1    24
 -1.2422095978289379E-02 a       175     0     7     1    25
  3.2101506421005052E-02 a       176     0     8     1     1
  1.1898757541894908E-01 a       177     0     8     1     2
  1.7113058481316567E-02 a       178     0     8     1     3
  9.5400953035133115E-02 a       179     0     8     1     4
 -3.4917238477336479E-02 a       180     0     8     1     5
  1.6264943940102974E-01 a       181     0     8     1     6
 -4.6821836100045408E-02 a       182     0     8     1     7
  1.3407042597259838E-02 a       183     0     8     1     8
  1.0457855156131182E-01 a       184     0     8     1     9
  6.2669278767769898E-02 a       185     0     8     1    10
  1.0307998492547511E-01 a       186     0     8     1    11
 -9.6832514954924235E-03 a       187     0     8     1    12
 -4.4106259176953287E-02 a       188     0     8     1    13
  1.5269029377314218E-02 a       189     0     8     1    14
 -5.7714504089509009E-03 a       190     0     8     1    15
  9.2127650130742783E-02 a       191     0     8     1    16
  7.6253198233736996E-02 a       192     0     8     1    17
  8.6388420128619248E-02 a       193     0     8     1    18
 -1.7087654338080589E-02 a       194     0     8     1    19
 -9.5411094199019886E-02 a       195     0     8     1    20
  1.4293301713180620E-01 a       196     0     8     1    21
 -6.0607371798987911E-02 a       197     0     8     1    22
  1.1686595840691530E-01 a       198     0     8     1    23
  7.0360917758676977E-03 a       199     0     8     1    24
  3.7146949300740022E-02 a       200     0     8     1    25
  1.7429493253059750E-01 a       201     0     9     1     1
 -1.0699899396392654E-01 a       202     0     9     1     2
 -3.9844078766580843E-01 a       203     0     9     1     3
 -1.8913339565825977E+00 a       204     0     9     1     4
  2.0886851192000044E+00 a       205     0     9     1     5
  2.1746740800598157E+00 a       206     0     9     1     6
 -1.7815660209513889E-01 a       207     0     9     1     7
 -5.9884052633860829E-01 a       208     0     9     1     8
 -1.3618513171778632E+00 a       209     0     9     1     9
  3.1022838292305539E+00 a       210     0     9     1    10
 -2.5442921320726968E+00 a       211     0     9     1    11
 -3.0694054543844029E-01 a       212     0     9     1    12
  1.8086980667871642E-02 a       213     0     9     1    13
  6.9630459019122837E-01 a       214     0     9     1    14
  2.5749128211449041E-01 a       215     0     9     1    15
 -1.1025167063079113E+00 a       216     0     9     1    16
  6.0556012391739777E+00 a       217     0     9     1    17
  1.4219216217639383E+00 a       218     0     9     1    18
  1.2377738396367379E+00 a       219     0     9     1    19
 -1.1352992723527426E+00 a       220     0     9     1    20
  3.0404095571227137E+00 a       221     0     9     1    21
  4.0040066219765968E-01 a       222     0     9     1    22
  2.6959323000619388E+00 a       223     0     9     1    23
  1.9483242482434882E-01 a       224     0     9     1    24
 -2.7395160528861799E+00 a       225     0     9     1    25
 -6.0809060129617443E-01 a       226     0    10     1     1
  4.4466492006978420E-01 a       227     0    10     1     2
 -2.5286774761509516E+00 a       228     0    10     1     3
  1.4408289726729238E+00 a       229     0    10     1     4
 -2.5818039950853535E+00 a       230     0    10     1     5
 -8.2134652254902694E+00 a       231     0    10     1     6
 -7.3705523812116658E+00 a       232     0    10     1     7
 -5.3600372994224799E-01 a       233     0    10     1     8
  1.9200163285946964E-01 a       234     0    10     1     9
 -6.2792951440276190E-01 a       235     0    10     1    10
  1.0515721606779276E+00 a       236     0    10     1    11
 -5.6113755341588367E-01 a       237     0    10     1    12
  3.2280918343386290E-02 a       238     0    10     1    13
  8.9988489499921623E-02 a       239     0    10     1    14
 -2.5590986603797183E-01 a       240     0    10     1    15
 -1.4845329200409649E-01 a       241     0    10     1    16
 -8.8754975491557602E+00 a       242     0    10     1    17
 -7.0451473473285864E-01 a       243     0    10     1    18
 -2.2563930239361402E-01 a       244     0    10     1    19
 -5.1788046425425463E-02 a       245     0    10     1    20
  2.6694672599858954E-01 a       246     0    10     1    21
  1.1716204486594921E-01 a       247     0    10     1    22
 -5.9041083361826292E+00 a       248     0    10     1    23
 -3.9844302919812891E-01 a       249     0    10     1    24
  6.0615175639534080E-01 a       250     0    10     1    25
 -6.2182499922810586E-01 a       251     0    11     1     1
  4.8982761718020074E-01 a       252     0    11     1     2
  3.4638411519820549E+00 a       253     0    11     1     3
  1.8647262832594780E+00 a       254     0    11     1     4
  7.0553990221788065E-01 a       255     0    11     1     5
  6.1949750818373115E+00 a       256     0    11     1     6
  7.3624021631236101E+00 a       257     0    11     1     7
  7.6736152614324427E-01 a       258     0    11     1     8
  1.5249415896837917E+00 a       259     0    11     1     9
 -2.0531561995482224E+00 a       260     0    11     1    10
  2.2935503347960458E+00 a       261     0    11     1    11
  5.2810227614959160E-01 a       262     0    11     1    12
 -4.9197904134056686E-01 a       263     0    11     1    13
  3.8614053858444652E-01 a       264     0    11     1    14
 -1.3677224763141287E+00 a       265     0    11     1    15
  7.8268248504134230E-01 a       266     0    11     1    16
  2.9561970832231221E+00 a       267     0    11     1    17
 -9.3268537363517079E-01 a       268     0    11     1    18
 -2.7399745820749071E+00 a       269     0    11     1    19
 -3.3330841447977744E-01 a       270     0    11     1    20
 -2.9528515170539316E+00 a       271     0    11     1    21
 -5.5390580207969364E-01 a       272     0    11     1    22
  2.2573182577805970E+00 a       273     0    11     1    23
  1.3687234986867287E+00 a       274     0    11     1    24
  2.2388560486804550E+00 a       275     0    11     1    25
 -2.3409642942600168E+00 a       276     0    12     1     1
  1.2435814230517668E+00 a       277     0    12     1     2
  1.9292139420794803E+00 a       278     0    12     1     3
 -1.6783741644562880E+00 a       279     0    12     1     4
 -2.0333259472209559E+00 a       280     0    12     1     5
  8.7454757772708680E-01 a       281     0    12     1     6
  5.2634615203215880E+00 a       282     0    12     1     7
 -1.9465905945094557E+00 a       283     0    12     1     8
 -3.4876576568232298E-01 a       284     0    12     1     9
  7.1710539545252264E-02 a       285     0    12     1    10
  2.8976683480918441E-01 a       286     0    12     1    11
  2.8170159223524910E-01 a       287     0    12     1    12
 -1.7059278365626622E+00 a       288     0    12     1    13
  1.8914259215435760E+00 a       289     0    12     1    14
  1.7181541156307290E-01 a       290     0    12     1    15
  1.0763490926270056E+00 a       291     0    12     1    16
 -4.8760487793915548E+00 a       292     0    12     1    17
 -2.0520835326633624E+00 a       293     0    12     1    18
 -1.4066442289581547E+00 a       294     0    12     1    19
  9.1402694815559249E-01 a       295     0    12     1    20
 -3.0189097259605826E+00 a       296     0    12     1    21
 -1.1395198599884440E+00 a       297     0    12     1    22
 -1.7277989624657524E+00 a       298     0    12     1    23
  1.5548750455548259E+00 a       299     0    12     1    24
  1.5377575598756519E+00 a       300     0    12     1    25
  1.0543444910662549E+00 a       301     0    13     1     1
  2.5648628899534825E-02 a       302     0    13     1     2
  1.0273577711092250E+00 a       303     0    13     1     3
 -1.4268385810561663E+00 a       304     0    13     1     4
  1.9102705045312822E+00 a       305     0    13     1     5
  5.4459530876162576E+00 a       306     0    13     1     6
  4.0014008602892925E+00 a       307     0    13     1     7
  7.1396034876166525E-01 a       308     0    13     1     8
 -1.9835299959494782E-01 a       309     0    13     1     9
 -2.7753896275383760E-01 a       310     0    13     1    10
 -9.0887035501900215E-01 a       311     0    13     1    11
 -2.0515981763080457E-01 a       312     0    13     1    12
 -1.0043389605919826E+00 a       313     0    13     1    13
 -6.7555726056155618E-01 a       314     0    13     1    14
  2.6780958094936319E-01 a       315     0    13     1    15
 -6.7876262303070745E-01 a       316     0    13     1    16
  7.9376050684358459E+00 a       317     0    13     1    17
  1.3136164669429415E+00 a       318     0    13     1    18
  1.5818332758919860E+00 a       319     0    13     1    19
 -4.5851691327667315E-01 a       320     0    13     1    20
  4.3328288314700253E-01 a       321     0    13     1    21
 -3.5398197435483926E-02 a       322     0    13     1    22
  4.8881477834400862E+00 a       323     0    13     1    23
 -7.9428135332301175E-01 a       324     0    13     1    24
 -9.7216148160100202E-01 a       325     0    13     1    25
  3.4434148698642275E+00 a       326     0    14     1     1
 -5.1570514015260505E-01 a       327     0    14     1     2
 -4.6388077304694901E+00 a       328     0    14     1     3
  1.0181228360909018E+00 a       329     0    14     1     4
  1.7388402142993105E+00 a       330     0    14     1     5
 -8.4260258973429050E+00 a       331     0    14     1     6
 -1.0619066076908076E+01 a       332     0    14     1     7
  1.9090594082604284E+00 a       333     0    14     1     8
  7.7471418453217900E-01 a       334     0    14     1     9
 -5.3743261586938496E-01 a       335     0    14     1    10
 -2.6692596027057136E-01 a       336     0    14     1    11
 -2.1059941931701114E+00 a       337     0    14     1    12
  6.1806093309406140E-01 a       338     0    14     1    13
 -1.8728625710481170E+00 a       339     0    14     1    14
  7.3830304956084281E-01 a       340     0    14     1    15
 -3.4966328295103608E+00 a       341     0    14     1    16
 -3.0200441196560983E+00 a       342     0    14     1    17
  1.3041287288279013E+00 a       343     0    14     1    18
  3.9307159045062003E+00 a       344     0    14     1    19
  5.3053946785717265E-01 a       345     0    14     1    20
  3.1106541157336434E+00 a       346     0    14     1    21
  1.5694360247440551E+00 a       347     0    14     1    22
 -1.8804680306846806E+00 a       348     0    14     1    23
 -4.5890561119616242E+00 a       349     0    14     1    24
 -2.3875683298498060E+00 a       350     0    14     1    25
 -1.7776998275224156E+00 a       351     0    15     1     1
 -1.5265930318049752E+00 a       352     0    15     1     2
  3.0075012520810356E+00 a       353     0    15     1     3
 -3.1596809591978618E+00 a       354     0    15     1     4
  2.6965642236672256E+00 a       355     0    15     1     5
  7.6530481324048774E+00 a       356     0    15     1     6
  5.5126280846981697E+00 a       357     0    15     1     7
 -1.4922387945309190E+00 a       358     0    15     1     8
  1.5916136062635780E+00 a       359     0    15     1     9
  8.3212443696307747E-01 a       360     0    15     1    10
 -3.2738584509047670E+00 a       361     0    15     1    11
  1.6818650975620300E+00 a       362     0    15     1    12
 -2.5676571694727111E+00 a       363     0    15     1    13
  4.7284053570039880E-01 a       364     0    15     1    14
  3.8125456647081218E-01 a       365     0    15     1    15
  1.3705734309110671E+00 a       366     0    15     1    16
  2.4668717033717389E+00 a       367     0    15     1    17
 -9.1237120997098664E-01 a       368     0    15     1    18
  5.6379461216393832E-02 a       369     0    15     1    19
 -1.7631029735588544E+00 a       370     0    15     1    20
  1.6156706652036473E-01 a       371     0    15     1    21
 -8.3585555509049184E-02 a       372     0    15     1    22
  2.2417119927256515E+00 a       373     0    15     1    23
  1.5770604140085511E+00 a       374     0    15     1    24
  1.3882088264768782E+00 a       375     0    15     1    25
  7.1504725504734870E-02 a       376     0    16     1     1
 -3.8419147530298216E-02 a       377     0    16     1     2
 -2.3059862596285328E+00 a       378     0    16     1     3
  6.7663192621779689E-01 a       379     0    16     1     4
 -1.8835770662061198E+00 a       380     0    16     1     5
 -7.6074356614199727E+00 a       381     0    16     1     6
 -6.1913936673790921E+00 a       382     0    16     1     7
 -4.4945324186619345E-01 a       383     0    16     1     8
 -3.4991404974473547E-02 a       384     0    16     1     9
 -5.7611639827271799E-01 a       385     0    16     1    10
  5.4432482324758236E-01 a       386     0    16     1    11
 -8.4070386554677157E-01 a       387     0    16     1    12
  1.4187169896147267E-01 a       388     0    16     1    13
 -7.9828551815052703E-02 a       389     0    16     1    14
  9.9134661937601343E-01 a       390     0    16     1    15
 -2.9103982689795327E-01 a       391     0    16     1    16
 -8.8615941208765960E+00 a       392     0    16     1    17
 -8.6129919193712690E-01 a       393     0    16     1    18
  2.9130924722384627E-01 a       394     0    16     1    19
  7.1639303044336777E-01 a       395     0    16     1    20
  2.8244834547689740E-01 a       396     0    16     1    21
 -1.9545831420484108E-01 a       397     0    16     1    22
 -5.5028276400582570E+00 a       398     0    16     1    23
