################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.0222561448149809E+00 a         1     0     1     1     1
  5.7827755705010253E-01 a         2     0     1     1     2
 -2.6330926597782858E+00 a         3     0     1     1     3
  3.8312838007831973E-01 a         4     0     1     1     4
 -1.7037731201481987E+00 a         5     0     1     1     5
  1.3457841086167020E+01 a         6     0     1     1     6
 -6.6042163781319019E-01 a         7     0     1     1     7
  1.3997381594490108E-01 a         8     0     1     1     8
  4.9122897128213072E+00 a         9     0     1     1     9
  1.6966236419537928E+00 a        10     0     1     1    10
 -1.7537921354140775E+00 a        11     0     1     1    11
 -7.9601364520964313E-01 a        12     0     1     1    12
  3.1056629661273910E-01 a        13     0     1     1    13
 -5.5543895170164896E+00 a        14     0     1     1    14
  9.6166656340102930E-01 a        15     0     1     1    15
  6.4664438351721296E+00 a        16     0     1     1    16
  2.5371845824712764E+00 a        17     0     1     1    17
 -6.9882082462725013E+00 a        18     0     1     1    18
  1.5278272018901828E+00 a        19     0     1     1    19
 -5.1298470607436393E+00 a        20     0     1     1    20
 -1.7911014707326454E+00 a        21     0     1     1    21
  9.5668153366584530E-01 a        22     0     1     1    22
  1.7177989647848340E+00 a        23     0     1     1    23
  3.6904851719298644E+00 a        24     0     1     1    24
  9.2796862682680477E+00 a        25     0     1     1    25
 -1.8738861328662075E+00 a        26     0     2     1     1
 -9.1306619694620128E-01 a        27     0     2     1     2
 -6.6388612160517535E-01 a        28     0     2     1     3
  6.4045678036798259E-01 a        29     0     2     1     4
 -1.5863522408072483E-01 a        30     0     2     1     5
 -2.8291775600327873E+00 a        31     0     2     1     6
  4.6610784870697924E-01 a        32     0     2     1     7
  1.2673220474637914E-01 a        33     0     2     1     8
 -2.1339979403541656E+00 a        34     0     2     1     9
  7.4386686369232624E-02 a        35     0     2     1    10
  1.5477394896551717E+00 a        36     0     2     1    11
 -2.3803373399060881E-01 a        37     0     2     1    12
  8.2946202444120362E-02 a        38     0     2     1    13
 -7.3325757363298416E-01 a        39     0     2     1    14
  5.8601202368033478E-01 a        40     0     2     1    15
 -1.6836032408652946E+00 a        41     0     2     1    16
 -1.7422913743968496E+00 a        42     0     2     1    17
  8.7070076253184681E-01 a        43     0     2     1    18
 -3.9378033657782324E-01 a        44     0     2     1    19
  7.9658287867091482E-01 a        45     0     2     1    20
  1.8916744095646940E+00 a        46     0     2     1    21
 -6.4702517118676217E-01 a        47     0     2     1    22
  1.0741818756817758E+00 a        48     0     2     1    23
 -7.4086402804685791E-01 a        49     0     2     1    24
 -1.4838499851446385E+00 a        50     0     2     1    25
 -4.9944032599606887E+00 a        51     0     3     1     1
 -1.8034837736595704E+00 a        52     0     3     1     2
  4.6108866404387555E-01 a        53     0     3     1     3
  1.2008273417759294E+00 a        54     0     3     1     4
  9.5547878912388040E-01 a        55     0     3     1     5
 -1.0453888385288563E+01 a        56     0     3     1     6
  1.0749076616330404E+00 a        57     0     3     1     7
  2.3628251933503014E-02 a        58     0     3     1     8
 -4.7999378343315557E+00 a        59     0     3     1     9
 -7.4017946361295095E-01 a        60     0     3     1    10
  2.7788897211300858E+00 a        61     0     3     1    11
  6.4264509933236991E-01 a        62     0     3     1    12
 -6.8147970219155432E-03 a        63     0     3     1    13
  2.4764788669862643E+00 a        64     0     3     1    14
  8.4455007151694517E-01 a        65     0     3     1    15
 -5.2768182194791766E+00 a        66     0     3     1    16
 -3.2484778823755116E+00 a        67     0     3     1    17
  4.9739623094846790E+00 a        68     0     3     1    18
 -1.1902576157229097E+00 a        69     0     3     1    19
  3.6847993613509789E+00 a        70     0     3     1    20
  3.2304368006871096E+00 a        71     0     3     1    21
 -1.6557339570848104E+00 a        72     0     3     1    22
  9.9768143501470941E-01 a        73     0     3     1    23
 -3.1116888943625307E+00 a        74     0     3     1    24
 -6.6549713223487883E+00 a        75     0     3     1    25
 -1.5430246317681060E+00 a        76     0     4     1     1
  3.8331023817508560E+00 a        77     0     4     1     2
  2.7608755110940075E+00 a        78     0     4     1     3
  1.7146727901706973E-01 a        79     0     4     1     4
  7.6741398930578208E-01 a        80     0     4     1     5
 -5.3602699527111746E+00 a        81     0     4     1     6
 -1.2285059748039717E+00 a        82     0     4     1     7
  1.5421404481352015E+00 a        83     0     4     1     8
 -4.1967934907929805E-01 a        84     0     4     1     9
 -2.2653069662558209E-01 a        85     0     4     1    10
 -7.9573594626941579E-01 a        86     0     4     1    11
 -1.6673367172287696E+00 a        87     0     4     1    12
 -1.3131901161403310E+00 a        88     0     4     1    13
  5.3717372856344294E+00 a        89     0     4     1    14
 -1.7795061574608944E+00 a        90     0     4     1    15
 -2.3549891302018411E+00 a        91     0     4     1    16
 -8.9383370936391326E-01 a        92     0     4     1    17
  3.3008581952349028E+00 a        93     0     4     1    18
 -1.1331241203483884E+00 a        94     0     4     1    19
  2.5582501503235879E+00 a        95     0     4     1    20
 -1.8125080887922314E+00 a        96     0     4     1    21
  1.9379795484390654E+00 a        97     0     4     1    22
 -4.4576253346540602E+00 a        98     0     4     1    23
  1.4026344225035960E+00 a        99     0     4     1    24
 -6.9146502738354183E+00 a       100     0     4     1    25
  3.7458118465227894E+00 a       101     0     5     1     1
 -2.5067101079708785E+00 a       102     0     5     1     2
 -1.6036742230560173E+00 a       103     0     5     1     3
 -2.4075439819194009E+00 a       104     0     5     1     4
  3.4827650488186929E-01 a       105     0     5     1     5
  6.9285488565010969E+00 a       106     0     5     1     6
 -7.0611503760757210E-01 a       107     0     5     1     7
 -2.2051942186300533E+00 a       108     0     5     1     8
  4.1007281159524887E+00 a       109     0     5     1     9
  1.4354252174516665E-02 a       110     0     5     1    10
 -3.3661614984952966E+00 a       111     0     5     1    11
  3.4782148792935645E+00 a       112     0     5     1    12
  2.5431022200426296E+00 a       113     0     5     1    13
  7.7501735957092621E-01 a       114     0     5     1    14
 -6.9894762235728081E-01 a       115     0     5     1    15
  5.2193568396133081E+00 a       116     0     5     1    16
  6.2744110041781749E+00 a       117     0     5     1    17
 -3.4201536934532824E+00 a       118     0     5     1    18
  2.8032757597980589E+00 a       119     0     5     1    19
 -3.7867319170468954E+00 a       120     0     5     1    20
 -7.0020275250330777E-01 a       121     0     5     1    21
 -1.7909050382259766E+00 a       122     0     5     1    22
  2.8408198809005789E+00 a       123     0     5     1    23
 -9.7578370120251012E-01 a       124     0     5     1    24
  8.2301352725446542E+00 a       125     0     5     1    25
 -1.4827280787174451E+00 a       126     0     6     1     1
  4.4809515412744738E-01 a       127     0     6     1     2
  5.1286911203583740E-01 a       128     0     6     1     3
  1.8550095829163145E+00 a       129     0     6     1     4
 -1.0129466015358919E+00 a       130     0     6     1     5
 -3.1255830123021950E+00 a       131     0     6     1     6
  6.2546208444698159E-01 a       132     0     6     1     7
  1.0556226470242109E+00 a       133     0     6     1     8
 -2.7314827515403333E+00 a       134     0     6     1     9
 -5.6348740123070618E-01 a       135     0     6     1    10
  2.4389461660777179E+00 a       136     0     6     1    11
 -1.5934576632427073E+00 a       137     0     6     1    12
 -1.3987295003454521E+00 a       138     0     6     1    13
 -2.3977869094000521E+00 a       139     0     6     1    14
  1.3052723753597797E+00 a       140     0     6     1    15
 -1.7539394985531784E+00 a       141     0     6     1    16
 -2.8371898220295435E+00 a       142     0     6     1    17
  1.0248396882297262E+00 a       143     0     6     1    18
 -1.7320072119073016E+00 a       144     0     6     1    19
  2.2609452619523793E+00 a       145     0     6     1    20
  9.2588728415813926E-01 a       146     0     6     1    21
  4.9749833850385250E-01 a       147     0     6     1    22
 -1.0149729402818339E+00 a       148     0     6     1    23
 -4.0768093799158228E-01 a       149     0     6     1    24
 -2.5398036576880965E+00 a       150     0     6     1    25
 -2.5340400959651007E-02 a       151     0     7     1     1
 -1.8409635182772893E-01 a       152     0     7     1     2
  4.7737049466267292E-02 a       153     0     7     1     3
 -5.5816711400407815E-01 a       154     0     7     1     4
  1.9608351613729438E-01 a       155     0     7     1     5
  7.8712607324503325E-01 a       156     0     7     1     6
